ID	성별	나이	구매금액	출연자	반품여부
1	1	33	2	2	0
2	2	21	3	2	1
3	1	45	1	1	0
4	1	50	2	1	0
5	1	21	3	1	1
6	1	22	3	1	1
7	2	27	3	2	1
8	2	26	3	2	1
9	2	28	2	2	1
10	2	24	3	2	1
11	1	18	2	2	1
12	1	64	1	1	0
13	1	55	1	1	0
14	1	75	1	1	0
15	2	73	2	2	0
16	2	29	1	2	1
17	1	30	3	2	0
18	2	31	3	2	1
19	1	54	2	2	0
20	2	34	3	2	1
21	2	35	3	2	1
22	2	34	3	2	1
23	1	54	1	1	0
24	1	53	2	1	0
25	1	55	1	1	0
26	1	64	2	1	0
27	2	25	3	2	1
28	2	28	3	2	1
29	2	64	2	2	0
30	2	66	1	1	0
31	1	25	2	2	1
32	1	58	2	1	0
33	1	58	1	2	0
34	1	54	1	2	0
35	2	34	3	2	1
36	2	25	1	2	0
37	2	67	1	1	0
38	1	35	3	1	1
39	2	35	3	2	1
40	1	37	3	2	1
41	2	38	3	2	1
42	1	39	3	2	1
43	2	24	3	1	1
44	2	22	3	2	1
45	2	57	3	2	0
46	1	58	1	1	0
47	1	59	2	1	0
48	1	67	2	1	0
49	1	67	2	1	0
50	2	54	2	2	0
51	2	57	1	2	0
52	2	18	1	2	1
53	2	17	2	2	1
54	2	24	2	2	1
55	1	29	2	2	0
56	2	21	2	2	1
57	2	23	2	2	1
58	2	57	3	1	0
59	2	59	1	2	0
60	1	64	1	2	0
61	2	66	1	1	0
62	2	63	1	1	0
63	1	38	1	1	0
64	1	62	1	1	0
65	2	14	3	1	1
66	2	19	3	2	1
67	2	24	3	2	1
68	2	22	3	2	1
69	1	33	2	1	0
70	1	34	2	1	0
71	1	32	1	1	0
72	1	30	3	2	1
73	2	29	3	2	1
74	2	27	2	2	1
75	2	34	1	1	0
76	2	39	1	1	0
77	2	24	2	2	1
78	2	22	2	2	1
79	2	21	2	2	1
80	1	30	3	2	0
81	1	35	1	2	0
82	1	21	2	2	1
83	2	31	1	2	0
84	1	31	1	2	0
85	2	15	3	2	1
86	2	18	3	2	1
87	1	19	3	2	1
88	2	15	2	2	1
89	1	34	1	1	0
90	2	25	2	2	1
91	2	24	2	2	1
92	2	28	2	2	1
93	1	35	3	2	0
94	2	29	2	2	1
95	1	39	1	2	0
96	2	25	3	2	1
97	2	28	3	2	1
98	2	27	2	1	1
99	1	39	1	1	0
100	2	28	2	1	1
101	1	40	1	1	0
102	2	18	3	1	1
103	1	44	1	1	0
104	1	41	1	1	0
105	1	18	3	1	1
106	1	24	3	1	1
107	2	26	3	2	1
108	2	29	3	2	1
109	2	28	2	2	1
110	2	28	3	2	1
111	1	27	2	2	1
112	1	29	1	1	0
113	1	34	1	1	0
114	1	31	1	1	0
115	2	38	2	1	0
116	2	29	3	2	1
117	1	37	2	1	0
118	2	21	3	2	1
119	1	39	1	1	0
120	2	24	3	2	1
121	2	24	2	2	1
122	2	24	2	2	1
123	1	34	1	1	0
124	1	34	1	1	0
125	1	34	1	1	0
126	1	34	1	1	0
127	2	24	2	2	1
128	2	28	2	2	1
129	2	33	1	2	0
130	2	39	1	2	0
131	1	24	2	1	1
132	1	39	1	2	0
133	1	34	2	1	0
134	1	37	2	2	0
135	2	18	2	1	1
136	2	39	1	2	0
137	2	38	1	1	0
138	1	17	2	2	1
139	2	18	2	2	1
140	1	19	2	1	1
141	2	21	3	2	1
142	1	22	3	2	1
143	2	23	3	2	1
144	2	24	3	2	1
145	2	35	1	1	0
146	1	34	2	1	0
147	1	39	1	1	0
148	1	66	1	1	0
149	1	64	2	1	0
150	2	65	1	1	0
151	2	54	1	1	0
152	2	65	2	2	1
153	2	45	3	2	1
