범죄분류,생활정도(계),생활정도(하류),생활정도(중류),생활정도(상류),생활정도(미상),혼인및미혼자부모관계(계),혼인관계(소계),혼인관계(유배우자),혼인관계(동거),혼인관계(이혼),혼인관계(사별),미혼자부모관계(소계),미혼자부모관계(실(양)부모),미혼자부모관계(계부모),미혼자부모관계(실부계모),미혼자부모관계(실부무모),미혼자부모관계(실모계부),미혼자부모관계(실모무부),미혼자부모관계(계부무모),미혼자부모관계(계모무부),미혼자부모관계(무부모),혼인및미혼자부모관계(미상)
살인기수,447,250,89,6,102,447,221,127,12,64,18,124,58,2,4,4,-,23,-,-,32,102
살인미수등,575,401,99,5,70,575,343,178,24,134,7,164,74,-,-,11,2,32,-,-,46,68
강도,2078,1473,417,15,173,2078,605,356,47,191,11,1300,837,5,21,93,20,174,3,-,147,173
강간,5517,2518,1648,68,1283,5517,1495,894,96,446,59,2734,1998,2,29,165,33,358,1,5,143,1288
유사강간,389,192,138,5,54,389,129,78,8,40,3,206,143,-,2,15,3,26,-,-,17,54
강제추행,13400,6732,4793,205,1670,13400,6119,4665,214,1071,169,5604,3974,14,37,266,32,803,6,15,457,1677
기타강간·강제추행등,1193,656,376,17,144,1193,391,243,25,107,16,656,435,-,15,46,6,99,-,3,52,146
방화,1466,1037,318,8,103,1466,790,453,72,227,38,571,320,3,6,34,6,105,1,2,94,105
절도범죄,95645,59965,27680,639,7361,95645,33927,23375,1175,7254,2123,54314,37361,183,812,4525,526,6080,70,77,4680,7404
상해,66885,39692,21430,543,5220,66885,40415,30503,1632,6871,1409,21227,15015,99,99,982,90,2841,21,23,2057,5243
폭행,171166,56550,29028,761,84827,171166,56201,42983,2208,9324,1686,29878,21049,101,132,1303,130,3896,19,40,3208,85087
체포·감금,1118,372,227,12,507,1118,384,254,15,106,9,225,168,-,1,10,1,31,-,-,14,509
협박,5160,1772,1061,47,2280,5160,2058,1509,61,440,48,818,547,3,5,32,3,127,2,1,98,2284
약취·유인,252,116,59,4,73,252,108,69,10,27,2,71,53,-,1,3,-,9,-,-,5,73
폭력행위등,80113,44086,24017,518,11492,80113,32959,25608,1427,5203,721,35638,27406,136,179,1821,162,3854,28,34,2018,11516
공갈,3674,1909,892,22,851,3674,1335,890,61,349,35,1491,995,2,19,119,17,213,-,4,122,848
손괴,29907,17181,8501,329,3896,29907,16418,11694,700,3437,587,9577,6475,35,30,370,50,1368,5,16,1228,3912
직무유기,801,30,113,1,657,801,124,120,1,2,1,15,12,1,-,-,-,1,-,-,1,662
직권남용,595,21,71,10,493,595,93,92,-,-,1,10,10,-,-,-,-,-,-,-,-,492
증수뢰,848,120,468,68,192,848,630,593,6,27,4,25,18,-,-,1,-,4,-,-,2,193
통화,334,61,26,1,246,334,43,32,1,8,2,45,33,-,-,2,-,8,-,-,2,246
문서·인장,19460,6160,3920,189,9191,19460,6573,4961,179,1048,385,3691,2777,32,24,217,30,418,4,7,182,9196
유가증권인지,552,158,67,1,326,552,209,155,4,48,2,16,12,-,-,-,-,3,-,-,1,327
사기,222173,79717,27258,734,114464,222173,66267,46764,2008,15566,1929,41163,27852,237,369,2759,294,5390,75,113,4074,114743
횡령,31975,10667,5961,261,15086,31975,11452,8985,304,1864,299,5390,3892,24,25,305,34,685,8,20,397,15133
배임,9361,1787,1960,160,5454,9361,3552,3142,55,284,71,334,248,1,1,11,-,41,1,-,31,5475
성풍속범죄,13945,6588,4604,94,2659,13945,4600,3688,115,727,70,6684,5141,37,31,300,30,836,5,13,291,2661
도박범죄,27749,17080,9095,147,1427,27749,21432,17235,475,3105,617,4888,3504,13,6,173,8,665,2,3,514,1429
특별경제범죄,87648,40562,17901,638,28547,87648,39404,30006,1001,7220,1177,19603,13195,103,73,870,65,2844,22,37,2394,28641
마약범죄,5264,3269,1380,119,496,5264,2950,1862,173,738,177,1813,1247,4,5,67,10,338,1,1,140,501
보건범죄,22085,10673,7912,949,2551,22085,16458,12765,323,2567,803,3079,2295,13,7,85,10,378,4,12,275,2548
환경범죄,3136,1154,1396,186,400,3136,2529,2261,58,171,39,206,137,-,-,9,1,28,-,-,31,401
교통범죄,533126,241031,149474,3146,139475,533126,279618,249046,4477,22212,3883,113475,92415,736,258,3786,345,10775,93,397,4670,140033
노동범죄,2131,1237,612,7,275,2131,1492,1221,32,211,28,364,257,1,1,22,-,47,1,3,32,275
안보범죄,90,39,23,2,26,90,47,33,-,11,3,17,9,-,-,-,-,5,-,-,3,26
선거범죄,2800,778,1066,185,771,2800,1838,1656,30,110,42,193,141,2,1,5,1,30,-,1,12,769
병역범죄,18523,12225,5406,76,816,18523,2728,2204,192,171,14,14977,11166,115,108,1120,98,1677,30,71,592,818
기타,230854,107883,68156,3064,51751,230854,123413,95881,3267,19918,4347,55590,40486,296,189,2395,209,7098,57,104,4756,51851
