측정일시	측정소명	이산화질소농도(ppm)	오존농도(ppm)	일산화탄소농도(ppm)	아황산가스(ppm)	미세먼지(ug/m^2)	초미세먼지(ug/m^2)
20170410	한강대로	0.031	0.029	0.4	0.003	43	
20170410	중랑구	0.018	0.034	0.3	0.005	35	25
20170410	종로	0.044	0.018	0.4	0.004	40	26
20170410	도산대로	0.024	0.029	0.8	0.005	36	26
20170410	강동구	0.017	0.037	0.4	0.003	34	25
20170410	도봉구	0.014	0.04	0.3	0.004	33	23
20170410	정릉로	0.057	0.02	0.5	0.007	43	25
20170410	영등포구	0.024	0.035	0.5	0.005	36	21
20170410	중구	0.031	0.029	0.4	0.003	31	21
20170410	강남구	0.028	0.026	0.3	0.005	34	21
20170410	용산구	0.021	0.029	0.2	0.003	27	19
20170410	광진구	0.021	0.041	0.4	0.004	31	21
20170410	홍릉로	0.028	0.029	0.2	0.005	39	28
20170410	동대문구	0.023	0.034	0.3	0.004	28	18
20170410	노원구	0.015	0.045	0.4	0.002	28	22
20170410	성동구	0.018	0.034	0.4	0.004	35	23
20170410	강변북로	0.026	0.027	0.3	0.003	37	
20170410	동작대로	0.041	0.024	0.5	0.007	39	
20170410	천호대로	0.029	0.03	0.5	0.003	32	22
20170410	공항대로	0.035	0.023	0.4	0.005	56	31
20170410	금천구	0.017	0.041	0.4	0.003	25	19
20170410	강서구	0.025	0.039	0.3	0.006	37	21
20170410	양천구	0.024	0.027	0.4	0.004	29	23
20170410	동작구	0.023	0.039	0.3	0.003	29	20
20170410	종로구	0.025	0.034	0.4	0.003	29	21
20170410	강남대로	0.043	0.025	0.4	0.006	38	
20170410	화랑로	0.043	0.019	0.5	0.003	42	
20170410	은평구	0.018	0.041	0.5	0.003	35	21
20170410	관악구	0.024	0.035	0.4	0.003	36	20
20170410	서대문구	0.028	0.03	0.5	0.005	36	27
20170410	성북구	0.029	0.029	0.6	0.001	34	25
20170410	영등포로	0.036	0.031	0.3	0.005	39	
20170410	서초구	0.02	0.038	0.4	0.005	33	25
20170410	송파구	0.015	0.043	0.4	0.004	36	21
20170410	강북구	0.022	0.036	0.4	0.002	26	20
20170410	청계천로	0.029	0.029	0.4	0.005	35	27
20170410	구로구	0.015	0.026	0.4	0.006	33	20
20170410	신촌로	0.028	0.028	0.6	0.004	35	24
20170410	마포구	0.021	0.038	0.4	0.003	33	26
20170409	금천구	0.024	0.028	0.5	0.003	45	34
20170409	성동구	0.019	0.027	0.4	0.004	37	20
20170409	관악구	0.026	0.028	0.5	0.003	50	26
20170409	공항대로	0.033	0.019	0.5	0.004	57	33
20170409	동작구	0.027	0.031	0.5	0.003	42	31
20170409	강변북로	0.029	0.023	0.4	0.003	44	
20170409	구로구	0.02	0.016	0.6	0.006	39	24
20170409	서초구	0.021	0.029	0.5	0.004	37	24
20170409	강동구	0.016	0.033	0.5	0.003	41	27
20170409	신촌로	0.036	0.02	0.7	0.004	40	24
20170409	홍릉로	0.027	0.025	0.3	0.005	50	36
20170409	동대문구	0.019	0.032	0.4	0.004	35	21
20170409	성북구	0.024	0.03	0.7	0.001	43	28
20170409	강북구	0.018	0.037	0.4	0.002	31	22
20170409	영등포구	0.024	0.03	0.6	0.005	41	22
20170409	강남구	0.024	0.024	0.4	0.005	39	22
20170409	송파구	0.02	0.034	0.5	0.004	37	18
20170409	화랑로	0.035	0.022	0.5	0.003	47	
20170409	은평구	0.018	0.037	0.6	0.003	38	22
20170409	노원구	0.016	0.04	0.5	0.002	38	25
20170409	도봉구	0.015	0.038	0.4	0.004	42	24
20170409	서대문구	0.027	0.027	0.5	0.004	42	28
20170409	마포구	0.019	0.033	0.5	0.003	43	36
20170409	광진구	0.022	0.038	0.5	0.003	38	25
20170409	도산대로	0.028	0.023	0.7	0.005	43	24
20170409	강서구	0.024	0.032	0.4	0.006	39	23
20170409	동작대로	0.044	0.017	0.7	0.006	46	
20170409	종로	0.037	0.015	0.4	0.003	50	32
20170409	천호대로	0.026	0.028	0.6	0.003	44	31
20170409	강남대로	0.046	0.014	0.6	0.004	53	
20170409	양천구	0.022	0.023	0.5	0.005	42	32
20170409	정릉로	0.037	0.021	0.6	0.006	52	27
20170409	한강대로	0.03	0.024	0.5	0.003	52	
20170409	청계천로	0.024	0.026	0.4	0.005	46	33
20170409	종로구	0.024	0.032	0.5	0.003	37	25
20170409	용산구	0.018	0.024	0.4	0.003	38	26
20170409	중랑구	0.014	0.034	0.3	0.005	41	27
20170409	중구	0.029	0.026	0.5	0.002	41	28
20170409	영등포로	0.035	0.023	0.4	0.005	52	
20170408	화랑로	0.049	0.015	0.6	0.004	62	
20170408	구로구	0.029	0.014	0.6	0.007	55	35
20170408	금천구	0.044	0.016	0.6	0.005	65	50
20170408	영등포로	0.055	0.013	0.5	0.006	77	
20170408	강남구	0.043	0.017	0.5	0.006	63	37
20170408	도봉구	0.034	0.03	0.6	0.004	65	40
20170408	중구	0.041	0.021	0.6	0.003	64	44
20170408	성동구	0.037	0.017	0.5	0.004	59	38
20170408	은평구	0.035	0.024	0.7	0.004	59	36
20170408	관악구	0.042	0.019	0.6	0.004	70	40
20170408	강북구	0.031	0.031	0.6	0.003	54	41
20170408	용산구	0.038	0.016	0.5	0.004	61	44
20170408	마포구	0.041	0.022	0.6	0.004	65	55
20170408	강남대로	0.063	0.011	0.8	0.006	81	
20170408	송파구	0.045	0.021	0.7	0.005	60	34
20170408	종로	0.047	0.011	0.5	0.004	72	53
20170408	공항대로	0.048	0.014	0.6	0.005	78	48
20170408	홍릉로	0.053	0.013	0.6	0.005	77	56
20170408	강변북로	0.054	0.01	0.7	0.004	71	
20170408	성북구	0.046	0.017	0.8	0.002	55	37
20170408	영등포구	0.04	0.02	0.8	0.005	60	34
20170408	노원구	0.04	0.025	0.7	0.004	61	42
20170408	천호대로	0.049	0.017	0.8	0.005	66	50
20170408	중랑구	0.038	0.02	0.5	0.006	69	47
20170408	종로구	0.044	0.021	0.7	0.004	57	43
20170408	동대문구	0.038	0.021	0.5	0.005	57	35
20170408	동작구	0.045	0.022	0.6	0.004	65	47
20170408	서초구	0.041	0.02	0.6	0.005	64	40
20170408	양천구	0.036	0.015	0.6	0.006	58	47
20170408	도산대로	0.047	0.015	0.9	0.006	65	42
20170408	동작대로	0.059	0.011	0.8	0.008	72	
20170408	서대문구	0.039	0.017	0.5	0.005	70	43
20170408	광진구	0.042	0.027	0.6	0.004	60	44
20170408	한강대로	0.05	0.016	0.6	0.004	72	
20170408	신촌로	0.064	0.009	1.1	0.005	60	40
20170408	정릉로	0.039	0.02	0.6	0.007	76	46
20170408	강서구	0.037	0.025	0.5	0.007	59	36
20170408	강동구	0.043	0.02	0.6	0.004	66	45
20170408	청계천로	0.046	0.016	0.5	0.005	71	54
20170407	양천구	0.039	0.014	0.5	0.005	46	38
20170407	도봉구	0.03	0.03	0.4	0.004	39	24
20170407	종로	0.046	0.012	0.5	0.004	49	37
20170407	노원구	0.038	0.027	0.6	0.003	36	24
20170407	구로구	0.032	0.011	0.6	0.007	43	26
20170407	성북구	0.042	0.02	0.7	0.001	33	21
20170407	영등포구	0.044	0.017	0.8	0.005	45	25
20170407	강남구	0.044	0.014	0.4	0.005	45	26
20170407	도산대로	0.052	0.012	0.8	0.005	49	29
20170407	광진구	0.04	0.025	0.6	0.004	48	33
20170407	강변북로	0.056	0.008	0.6	0.004	52	
20170407	청계천로	0.051	0.017	0.5	0.008	46	33
20170407	성동구	0.037	0.017	0.5	0.004	40	25
20170407	천호대로	0.052	0.014	0.7	0.004	51	37
20170407	강북구	0.029	0.027	0.5	0.003	34	23
20170407	홍릉로	0.05	0.012	0.5	0.005	57	40
20170407	강동구	0.04	0.019	0.5	0.004	47	31
20170407	강남대로	0.071	0.008	0.7	0.005	65	
20170407	강서구	0.039	0.024	0.4	0.006	40	24
20170407	공항대로	0.044	0.011	0.5	0.005	60	36
20170407	동대문구	0.034	0.022	0.4	0.004	36	22
20170407	동작구	0.047	0.019	0.5	0.004	47	34
20170407	용산구	0.038	0.015	0.4	0.003	44	31
20170407	중구	0.04	0.022	0.5	0.003	43	30
20170407	종로구	0.039	0.023	0.6	0.003	36	25
20170407	은평구	0.034	0.028	0.6	0.003	39	24
20170407	영등포로	0.054	0.013	0.4	0.006	59	
20170407	금천구	0.045	0.017	0.5	0.004	46	35
20170407	송파구	0.043	0.02	0.6	0.004	44	23
20170407	마포구	0.039	0.023	0.5	0.003	46	42
20170407	서대문구	0.036	0.019	0.5	0.005	43	28
20170407	정릉로	0.048	0.018	0.6	0.007	56	32
20170407	신촌로	0.059	0.012	0.9	0.004	42	26
20170407	화랑로	0.044	0.016	0.5	0.003	40	
20170407	서초구	0.043	0.017	0.5	0.005	39	28
20170407	중랑구	0.036	0.02	0.4	0.005	42	34
20170407	한강대로	0.048	0.016	0.5	0.004	52	
20170407	관악구	0.044	0.018	0.5	0.004	53	27
