회계연도, 소관명, 회계명, 계정명, 분야명, 부문명, 프로그램명, 단위사업명, 금년도예산(천원), 추경정부안(천원), 추경국회확정(천원),
2015, 대통령비서실 및 국가안보실, 일반회계, , 일반·지방행정, 일반행정, 기관운영, 인건비,31799925,31799925,31799925,
2015, 대통령비서실 및 국가안보실, 일반회계, , 일반·지방행정, 일반행정, 기관운영, 기본경비,18133000,18133000,18133000,
2015, 대통령비서실 및 국가안보실, 일반회계, , 일반·지방행정, 일반행정, 국정지원, 국정운영 지원,29673000,29673000,29673000,
2015, 대통령비서실 및 국가안보실, 일반회계, , 일반·지방행정, 일반행정, 국정지원, 정보화,6400000,6400000,6400000,
2015, 대통령비서실 및 국가안보실, 일반회계, , 일반·지방행정, 일반행정, 국정지원, 국가안보실 운영,2682000,2682000,2682000,
2015, 대통령경호실, 일반회계, , 일반·지방행정, 일반행정, 대통령경호실 운영, 인건비,41423457,41423457,41423457,
2015, 대통령경호실, 일반회계, , 일반·지방행정, 일반행정, 대통령경호실 운영, 기본경비,8202000,8202000,8202000,
2015, 대통령경호실, 일반회계, , 일반·지방행정, 일반행정, 대통령 및 국가요인 경호, 경호행사지원,30480290,30480290,30480290,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 의정활동지원, 의정지원,66409871,66409871,66409871,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 의정활동지원, 위원회운영지원,10949555,10949555,10949555,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 의정활동지원, 의회외교,10510337,10510337,10510337,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 의정활동지원, 국회활동관련단체지원,9413000,9413000,9413000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 의정활동지원, 예비금,1300000,1300000,1300000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회사무처운영, 의회운영지원,14091300,14091300,14091300,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회사무처운영, 법제활동지원,1018000,1018000,1018000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회사무처운영, 국회청사확보및시설관리,28036000,28036000,28036000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회사무처운영, 입법정보화,16325000,16325000,16325000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회사무처운영, 의회운영교육 수입대체경비,126000,126000,126000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회사무처운영, 국회방송운영,14119000,14119000,14119000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회도서관운영, 도서관운영지원,962000,962000,962000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회도서관운영, 입법정보지원,915000,915000,915000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회도서관운영, 도서관자료확충및보존,7322000,7322000,7322000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회도서관운영, 전자도서관운영,8594000,8594000,8594000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 예산정책처운영, 기획관리및운영지원,597000,597000,597000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 예산정책처운영, 국가재정분석및사업평가,2693000,2693000,2693000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 예산정책처운영, 예산정책처정보화,703000,703000,703000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 입법조사처운영, 기획관리및운영지원,576000,576000,576000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 입법조사처운영, 입법및정책조사분석,1841000,1841000,1841000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 입법조사처운영, 입법조사처 정보화,753000,753000,753000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회행정지원, 사무처 인건비,265671083,265671083,265671083,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회행정지원, 도서관 인건비,21734833,21734833,21734833,
