"","time","userlevel","gamebalance"
"18176",93,5,26
"10321",166,24,120
"10631",200,18,76
"7716",145,16,73
"14174",168,15,35
"19374",99,0,14
"1266",108,3,23
"12099",146,17,61
"11675",205,18,65
"5679",134,7,67
"6600",139,14,53
"17737",135,6,34
"13980",135,13,72
"15807",126,10,51
"16202",124,8,28
"13662",137,13,52
"4657",103,12,25
"8166",148,17,63
"13417",138,14,53
"19970",76,0,0
"9748",169,24,84
"14023",135,11,50
"902",104,1,20
"13983",135,11,50
"8090",148,17,63
"18405",110,4,19
"9804",210,25,87
"19814",87,0,3
"6816",140,14,55
"10487",157,22,79
"9344",178,23,75
"14767",131,11,46
"9963",183,29,98
"18548",109,4,21
"6277",83,13,52
"11740",149,18,64
"17574",116,6,31
"7882",119,16,61
"10227",170,23,86
"12120",146,18,61
"5299",132,11,52
"993",105,2,20
"1270",108,3,23
"12430",144,16,59
"11366",120,19,57
"2605",117,6,32
"3785",124,9,39
"2108",114,4,22
"13804",139,11,32
"8192",167,11,63
"19451",98,0,12
"6629",139,14,44
"7983",147,17,47
"4653",129,10,43
"15903",126,6,40
"18579",108,3,23
"3952",125,9,40
"8258",149,17,64
"1015",65,2,20
"7371",143,11,58
"8083",148,17,64
"19351",100,0,14
"1685",111,4,26
"19387",99,0,12
"11300",131,19,68
"14102",135,8,64
"10766",158,25,82
"2255",115,7,35
"14288",125,12,68
"7976",187,17,62
"8805",154,19,70
"17931",113,5,28
"1806",112,4,27
"16861",120,8,35
"15956",148,9,48
"15231",129,11,44
"15198",105,11,44
"12601",171,20,58
"13324",139,12,54
"16989",97,7,28
"11952",147,18,62
"13440",138,13,53
"3139",120,7,29
"13208",139,14,54
"6117",136,13,51
"2002",114,5,29
"5715",88,12,49
"5011",130,11,55
"17788",96,6,29
"15361",128,10,43
"8054",147,17,62
"9238",159,21,74
"2476",116,5,32
"4406",80,6,42
"19764",89,0,7
"3837",124,9,52
"3185",110,9,36
"5731",134,10,49
"7251",143,15,57
"17451",117,6,32
"15072",141,11,45
"13586",137,10,76
"1820",112,6,28
"19197",102,1,16
"11547",150,12,90
"18332",111,3,25
"4261",161,9,41
"3467",122,8,33
"19378",99,0,14
"15269",129,11,50
"521",98,0,13
"7094",142,20,78
"18",84,0,0
"2501",117,6,32
"16177",81,7,31
"2889",119,7,34
"10690",142,21,75
"15753",126,10,57
"16905",120,7,35
"9746",169,24,84
"16791",121,8,46
"13988",135,13,50
"5174",148,11,46
"3155",120,7,36
"2931",119,7,34
"17238",118,7,20
"6288",137,9,28
"16474",159,11,32
"7579",145,22,80
"9048",157,20,71
"2379",116,5,31
"11873",148,21,63
"11287",153,25,68
"3161",121,7,41
"19188",142,1,16
"5869",135,12,27
"13794",136,13,49
"11409",151,19,63
"4659",129,12,53
"9882",175,21,88
"11654",149,13,65
"1030",105,3,20
"10984",156,20,71
"9779",170,23,125
"12848",179,15,56
"12424",190,16,54
"9665",145,32,82
"18068",112,6,27
"6124",99,8,51
"17545",116,4,31
"17346",117,5,32
"3802",124,11,39
"14646",132,12,58
"14089",135,13,29
"2021",114,5,29
"3840",124,10,39
"18551",76,4,24
"1039",105,2,20
"13546",183,14,52
"14909",130,11,47
"10245",169,25,85
"15307",129,7,45
"11698",149,18,77
"5460",133,12,47
"8565",152,18,67
"5802",134,12,57
"2696",122,7,33
"18441",109,3,24
"2470",116,6,32
"2609",117,6,32
"9073",157,20,72
"19009",103,2,19
"4761",129,13,44
"4909",130,11,45
"4405",81,10,42
"11114",154,17,69
"2149",115,5,20
"11447",151,19,66
"5945",135,13,50
"2592",152,6,32
"2893",119,7,34
"2184",115,5,30
"12409",144,16,59
"10153",173,26,123
"12652",142,15,58
"1835",121,4,20
"12194",119,16,39
"8020",147,17,62
"10467",163,22,79
"13932",138,16,31
"5770",114,11,49
"4425",127,7,42
"10917",156,26,72
"2056",114,5,29
"12801",119,15,52
"15515",159,12,42
"750",102,1,17
"14080",123,13,50
"12580",143,18,58
"17082",119,7,34
"4754",129,10,44
"7599",189,22,59
"11785",155,19,64
"19066",103,2,18
"2912",119,6,38
"16168",124,9,36
"15083",130,11,65
"12841",106,21,56
"11310",152,19,44
"19780",80,0,5
"12450",144,16,59
"8720",96,22,90
"15184",129,7,32
"14876",131,11,45
"16099",151,9,39
"13226",139,13,54
"5078",131,11,45
"10261",195,24,85
"13868",136,11,51
"46",79,0,0
"12210",145,16,61
"16520",97,8,37
"7792",146,16,56
"6582",139,10,53
"2418",121,6,31
"9947",180,28,95
"4373",127,10,42
"19965",76,0,0
"3079",120,7,35
"263",91,0,3
"5732",134,8,49
"2487",99,7,32
"14686",132,15,46
"12199",153,16,61
"8574",152,13,63
"12028",147,12,62
"8376",117,18,47
"9225",218,21,74
"3768",124,8,39
"8544",151,18,66
"13737",136,9,51
"14952",130,15,42
"12486",139,20,59
"15969",80,9,40
"4190",126,9,56
"18262",111,4,25
"4312",152,13,42
"11108",154,15,64
"16880",120,6,35
"17843",114,7,43
"17518",106,6,32
"14977",130,11,49
"17624",74,7,30
"10498",162,22,68
"9280",156,21,74
"4051",94,9,40
"14731",131,15,46
"11910",147,17,63
"9493",163,22,78
"9032",178,20,42
"2625",145,6,33
"19134",103,1,17
"13802",136,13,51
"16964",114,6,35
"11105",154,20,70
"3184",121,8,36
"9714",181,28,93
"11874",148,17,63
"9191",158,28,73
"13798",136,13,51
"9515",163,24,43
"12706",93,18,46
"9606",165,23,52
"6144",136,13,51
"18880",67,2,20
"1362",109,3,23
"16183",124,9,39
"1456",110,4,24
"12875",141,15,56
"7754",160,16,60
"2366",116,6,31
"10881",157,20,72
"11885",148,17,63
"8636",152,19,46
"10806",173,21,73
"16881",120,8,35
"915",104,1,19
"10462",138,15,79
"3731",161,10,39
"4923",115,11,45
"14310",109,13,48
"2395",108,6,31
"4330",127,10,42
"96",83,0,0
"6947",141,14,55
"14592",158,12,47
"6047",166,13,50
"1139",107,2,22
"736",102,1,19
"9357",141,22,98
"3277",118,8,36
"14166",134,11,70
