City,Population,Households,PersInHou,Male,Female,SexRatio
서울특별시  (1100000000),"10,078,850","4,197,478",2.4,"4,962,774","5,116,076",0.97
서울특별시 종로구 (1111000000),"155,695","72,882",2.14,"76,962","78,733",0.98
서울특별시 중구 (1114000000),"126,817","59,614",2.13,"63,292","63,525",1
서울특별시 용산구 (1117000000),"235,186","108,138",2.17,"114,119","121,067",0.94
서울특별시 성동구 (1120000000),"298,145","126,915",2.35,"148,265","149,880",0.99
서울특별시 광진구 (1121500000),"362,197","158,769",2.28,"177,946","184,251",0.97
서울특별시 동대문구 (1123000000),"362,604","160,110",2.26,"181,825","180,779",1.01
서울특별시 중랑구 (1126000000),"417,976","177,077",2.36,"208,657","209,319",1
서울특별시 성북구 (1129000000),"464,176","192,670",2.41,"227,676","236,500",0.96
서울특별시 강북구 (1130500000),"333,523","141,325",2.36,"164,304","169,219",0.97
서울특별시 도봉구 (1132000000),"353,284","137,260",2.57,"174,075","179,209",0.97
서울특별시 노원구 (1135000000),"579,324","220,403",2.63,"282,601","296,723",0.95
서울특별시 은평구 (1138000000),"499,399","203,159",2.46,"244,160","255,239",0.96
서울특별시 서대문구 (1141000000),"307,843","134,004",2.3,"149,921","157,922",0.95
서울특별시 마포구 (1144000000),"389,937","171,691",2.27,"187,989","201,948",0.93
서울특별시 양천구 (1147000000),"485,800","179,315",2.71,"240,817","244,983",0.98
서울특별시 강서구 (1150000000),"588,559","236,939",2.48,"287,809","300,750",0.96
서울특별시 구로구 (1153000000),"425,288","172,797",2.46,"212,482","212,806",1
서울특별시 금천구 (1154500000),"238,367","104,331",2.28,"121,752","116,615",1.04
서울특별시 영등포구 (1156000000),"381,647","168,314",2.27,"190,907","190,740",1
서울특별시 동작구 (1159000000),"406,536","172,464",2.36,"199,601","206,935",0.96
서울특별시 관악구 (1162000000),"512,921","249,481",2.06,"259,364","253,557",1.02
서울특별시 서초구 (1165000000),"447,076","172,770",2.59,"215,100","231,976",0.93
서울특별시 강남구 (1168000000),"575,912","237,198",2.43,"276,091","299,821",0.92
서울특별시 송파구 (1171000000),"664,804","257,528",2.58,"324,817","339,987",0.96
서울특별시 강동구 (1174000000),"465,834","182,324",2.55,"232,242","233,592",0.99
부산광역시  (2600000000),"3,517,491","1,430,441",2.46,"1,737,975","1,779,516",0.98
부산광역시 중구 (2611000000),"46,519","23,454",1.98,"22,832","23,687",0.96
부산광역시 서구 (2614000000),"117,028","53,304",2.2,"57,586","59,442",0.97
부산광역시 동구 (2617000000),"93,456","43,726",2.14,"46,344","47,112",0.98
부산광역시 영도구 (2620000000),"130,825","56,561",2.31,"64,962","65,863",0.99
부산광역시 부산진구 (2623000000),"386,303","165,875",2.33,"189,294","197,009",0.96
부산광역시 동래구 (2626000000),"273,857","106,707",2.57,"134,691","139,166",0.97
부산광역시 남구 (2629000000),"286,051","114,877",2.49,"140,911","145,140",0.97
부산광역시 북구 (2632000000),"306,292","116,467",2.63,"152,450","153,842",0.99
부산광역시 해운대구 (2635000000),"423,428","163,386",2.59,"206,284","217,144",0.95
부산광역시 사하구 (2638000000),"340,788","134,892",2.53,"170,367","170,421",1
부산광역시 금정구 (2641000000),"248,177","101,090",2.46,"122,166","126,011",0.97
부산광역시 강서구 (2644000000),"86,771","35,770",2.43,"45,035","41,736",1.08
부산광역시 연제구 (2647000000),"207,314","83,206",2.49,"101,973","105,341",0.97
부산광역시 수영구 (2650000000),"179,815","75,581",2.38,"86,287","93,528",0.92
부산광역시 사상구 (2653000000),"240,772","96,928",2.48,"122,522","118,250",1.04
부산광역시 기장군 (2671000000),"150,095","58,617",2.56,"74,271","75,824",0.98
대구광역시  (2700000000),"2,491,137","977,714",2.55,"1,239,275","1,251,862",0.99
대구광역시 중구 (2711000000),"80,793","38,102",2.12,"39,418","41,375",0.95
대구광역시 동구 (2714000000),"349,742","143,591",2.44,"174,444","175,298",1
대구광역시 서구 (2717000000),"207,902","89,987",2.31,"105,281","102,621",1.03
대구광역시 남구 (2720000000),"162,168","75,003",2.16,"79,030","83,138",0.95
대구광역시 북구 (2723000000),"443,447","168,793",2.63,"221,957","221,490",1
대구광역시 수성구 (2726000000),"452,147","164,989",2.74,"221,112","231,035",0.96
대구광역시 달서구 (2729000000),"606,232","225,780",2.69,"301,555","304,677",0.99
대구광역시 달성군 (2771000000),"188,706","71,469",2.64,"96,478","92,228",1.05
인천광역시  (2800000000),"2,914,271","1,145,232",2.54,"1,464,320","1,449,951",1.01
인천광역시 중구 (2811000000),"114,125","50,950",2.24,"59,086","55,039",1.07
인천광역시 동구 (2814000000),"73,495","30,640",2.4,"37,047","36,448",1.02
인천광역시 남구 (2817000000),"406,990","171,796",2.37,"205,669","201,321",1.02
인천광역시 연수구 (2818500000),"311,316","112,832",2.76,"155,495","155,821",1
인천광역시 남동구 (2820000000),"523,673","204,594",2.56,"261,270","262,403",1
인천광역시 부평구 (2823700000),"557,762","217,046",2.57,"277,892","279,870",0.99
인천광역시 계양구 (2824500000),"337,721","127,772",2.64,"169,288","168,433",1.01
인천광역시 서구 (2826000000),"500,981","187,991",2.66,"253,068","247,913",1.02
인천광역시 강화군 (2871000000),"67,383","30,439",2.21,"33,790","33,593",1.01
인천광역시 옹진군 (2872000000),"20,825","11,172",1.86,"11,715","9,110",1.29
광주광역시  (2900000000),"1,476,974","577,941",2.56,"731,808","745,166",0.98
광주광역시 동구 (2911000000),"100,554","46,364",2.17,"50,175","50,379",1
광주광역시 서구 (2914000000),"308,346","120,061",2.57,"151,674","156,672",0.97
광주광역시 남구 (2915500000),"220,613","86,777",2.54,"106,873","113,740",0.94
광주광역시 북구 (2917000000),"448,490","178,223",2.52,"222,943","225,547",0.99
광주광역시 광산구 (2920000000),"398,971","146,516",2.72,"200,143","198,828",1.01
대전광역시  (3000000000),"1,525,656","595,216",2.56,"763,262","762,394",1
대전광역시 동구 (3011000000),"242,758","101,201",2.4,"122,809","119,949",1.02
대전광역시 중구 (3014000000),"258,365","103,329",2.5,"128,543","129,822",0.99
대전광역시 서구 (3017000000),"494,953","189,193",2.62,"243,875","251,078",0.97
대전광역시 유성구 (3020000000),"330,231","124,114",2.66,"166,648","163,583",1.02
