custId,sex,age,city
C0001,F,23,Kyeongki
C0002,F,68,Seoul
C0003,F,21,Kyeongki
C0004,F,45,Seoul
C0005,F,50,Seoul
C0006,F,61,Seoul
C0007,F,24,Seoul
C0008,F,73,Seoul
C0009,F,57,Seoul
C0010,F,51,Seoul
C0011,F,25,Seoul
C0012,F,48,Kyeongki
C0013,F,59,Seoul
C0014,M,37,Seoul
C0015,F,34,Chungbuk
C0016,F,61,Seoul
C0017,F,31,Seoul
C0018,F,70,
C0019,F,22,Seoul
C0020,M,34,Seoul
C0021,F,59,Seoul
C0022,F,62,Seoul
C0023,F,42,Seoul
C0024,F,41,Seoul
C0025,M,30,Seoul
C0026,F,34,Kyeongki
C0027,F,43,Seoul
C0028,F,31,Seoul
C0029,F,34,Kyeongki
C0030,F,51,Seoul
C0031,F,34,Seoul
C0032,F,41,Seoul
C0033,F,40,Seoul
C0034,F,63,Chungnam
C0035,F,61,Seoul
C0036,F,51,Seoul
C0037,F,38,Seoul
C0038,F,29,Gangwon
C0039,F,32,Seoul
C0040,F,44,Seoul
C0041,F,43,Seoul
C0042,F,43,Seoul
C0043,F,52,Seoul
C0044,F,30,Seoul
C0045,F,53,Seoul
C0046,F,24,Seoul
C0047,M,42,Seoul
C0048,M,36,Kyeongki
C0049,F,63,Seoul
C0050,F,77,Inchon
C0051,F,37,Seoul
C0052,M,65,Seoul
C0053,M,25,Seoul
C0054,F,32,Seoul
C0055,F,53,Seoul
C0056,F,50,Seoul
C0057,F,65,Seoul
C0058,M,61,Seoul
C0059,F,30,Seoul
C0060,F,64,Seoul
C0061,M,43,Seoul
C0062,F,43,Seoul
C0063,F,60,Seoul
C0064,F,42,Seoul
C0065,F,78,Seoul
C0066,F,39,Seoul
C0067,F,48,Seoul
C0068,F,27,Seoul
C0069,F,44,Chungnam
C0070,F,59,Seoul
C0071,F,50,Seoul
C0072,F,34,Seoul
C0073,F,47,Seoul
C0074,M,26,Kyeongki
C0075,F,55,Seoul
C0076,F,45,Seoul
C0077,F,44,Seoul
C0078,F,50,Seoul
C0079,F,37,Seoul
C0080,F,79,Seoul
C0081,M,43,Seoul
C0082,F,62,Seoul
C0083,M,43,Seoul
C0084,F,46,Seoul
C0085,F,30,Seoul
C0086,F,54,Seoul
C0087,F,45,Seoul
C0088,M,68,Kyeongki
C0089,F,20,Inchon
C0090,F,48,Seoul
C0091,M,51,Seoul
C0092,M,53,Seoul
C0093,M,36,Kyeongki
C0094,F,36,Kyeongki
C0095,F,39,Seoul
C0096,M,39,Seoul
C0097,F,61,Seoul
