id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID12401,19,FEMALE,INNER_CITY,8162.420,YES,1,YES,YES,YES,YES,NO
ID12402,37,FEMALE,TOWN,15349.600,YES,0,NO,YES,NO,NO,NO
ID12403,45,FEMALE,TOWN,29231.400,YES,0,NO,YES,NO,NO,NO
ID12404,49,MALE,RURAL,41462.300,YES,3,NO,YES,YES,YES,NO
ID12405,67,FEMALE,RURAL,57398.100,NO,3,NO,YES,YES,NO,YES
ID12406,35,FEMALE,RURAL,11520.800,YES,0,NO,NO,YES,NO,NO
ID12407,63,MALE,INNER_CITY,52117.300,NO,2,YES,YES,YES,NO,YES
ID12408,38,MALE,RURAL,26281.400,NO,0,YES,YES,YES,NO,YES
ID12409,48,MALE,TOWN,25683.400,NO,2,YES,YES,YES,NO,NO
ID12410,28,FEMALE,INNER_CITY,11920.700,NO,1,NO,YES,YES,NO,NO
ID12411,46,MALE,TOWN,30658.700,YES,0,NO,YES,YES,NO,NO
ID12412,66,MALE,INNER_CITY,36646.400,NO,1,NO,YES,YES,NO,YES
ID12413,61,FEMALE,TOWN,30760.400,NO,2,YES,NO,YES,NO,YES
ID12414,18,FEMALE,RURAL,16109.900,NO,2,YES,YES,YES,NO,NO
ID12415,54,FEMALE,TOWN,18036.700,YES,0,YES,YES,NO,NO,NO
ID12416,45,MALE,RURAL,42628.300,NO,0,YES,YES,YES,YES,NO
ID12417,60,MALE,INNER_CITY,22110.100,NO,2,YES,YES,YES,NO,NO
ID12418,45,FEMALE,TOWN,37689.100,NO,1,NO,YES,YES,YES,YES
ID12419,31,FEMALE,INNER_CITY,23171.800,NO,2,NO,YES,NO,NO,NO
ID12420,39,MALE,SUBURBAN,21951.300,NO,0,YES,YES,YES,YES,NO
ID12421,53,MALE,INNER_CITY,38103.400,NO,2,YES,YES,YES,NO,YES
ID12422,35,MALE,RURAL,22882.900,YES,0,YES,NO,NO,YES,YES
ID12423,25,FEMALE,TOWN,11043.700,YES,1,YES,YES,NO,YES,NO
ID12424,32,MALE,TOWN,24027.600,NO,0,NO,YES,YES,NO,YES
ID12425,36,MALE,SUBURBAN,28495.100,YES,0,NO,YES,YES,NO,NO
ID12426,24,FEMALE,TOWN,9465.210,NO,0,NO,NO,YES,NO,YES
ID12427,39,MALE,INNER_CITY,34852.300,YES,1,NO,YES,NO,YES,YES
ID12428,24,MALE,INNER_CITY,21268.400,YES,0,NO,NO,YES,YES,YES
ID12429,57,FEMALE,RURAL,50849.200,NO,1,NO,YES,NO,YES,YES
ID12430,27,FEMALE,TOWN,18555.900,YES,3,NO,NO,YES,NO,NO
ID12431,66,FEMALE,RURAL,52769.900,YES,3,YES,YES,YES,NO,YES
ID12432,18,FEMALE,INNER_CITY,11601.400,YES,2,NO,YES,YES,YES,NO
ID12433,33,FEMALE,TOWN,29541.700,YES,0,NO,YES,NO,NO,NO
ID12434,48,MALE,SUBURBAN,17861.000,YES,2,NO,YES,YES,NO,NO
ID12435,23,FEMALE,SUBURBAN,21042.000,YES,1,NO,NO,YES,NO,YES
ID12436,44,MALE,TOWN,26688.100,YES,1,NO,YES,NO,YES,YES
ID12437,39,MALE,INNER_CITY,26900.600,YES,2,NO,NO,NO,YES,NO
ID12438,65,MALE,INNER_CITY,38080.900,YES,1,YES,YES,NO,YES,NO
