"id","age","sex","region","income","married","children","car","save_act","current_act","mortgage","c5_pred","c5_pred_prob.NO","c5_pred_prob.YES"
"ID12704",50,"MALE","TOWN",46794.4,"YES",2,"NO","YES","NO","YES","YES",0.05204082,0.94795918
"ID12716",44,"MALE","TOWN",34961.7,"YES",1,"NO","NO","NO","YES","YES",0.05204082,0.94795918
"ID12721",40,"MALE","TOWN",37227.8,"NO",1,"YES","YES","YES","NO","YES",0.05204082,0.94795918
"ID12723",54,"MALE","RURAL",49986.7,"YES",1,"YES","YES","YES","NO","YES",0.05204082,0.94795918
"ID12729",58,"MALE","RURAL",41114.2,"YES",2,"YES","YES","YES","YES","YES",0.05204082,0.94795918
"ID12743",66,"MALE","INNER_CITY",43720.4,"NO",1,"NO","YES","NO","YES","YES",0.05204082,0.94795918
"ID12752",61,"MALE","RURAL",40315.6,"YES",2,"YES","YES","YES","NO","YES",0.05204082,0.94795918
"ID12764",46,"FEMALE","TOWN",41406.5,"YES",1,"NO","YES","YES","NO","YES",0.05204082,0.94795918
"ID12766",44,"FEMALE","INNER_CITY",31833.7,"NO",2,"NO","YES","YES","NO","YES",0.05204082,0.94795918
"ID12776",54,"FEMALE","INNER_CITY",48375.5,"YES",2,"YES","YES","YES","NO","YES",0.05204082,0.94795918
"ID12782",44,"MALE","RURAL",39202.2,"NO",1,"YES","YES","YES","YES","YES",0.05204082,0.94795918
"ID12790",45,"FEMALE","TOWN",38496.9,"NO",2,"YES","NO","YES","NO","YES",0.05204082,0.94795918
"ID12791",56,"FEMALE","TOWN",50209.7,"NO",2,"YES","YES","YES","NO","YES",0.05204082,0.94795918
"ID12797",65,"FEMALE","SUBURBAN",47289.2,"NO",1,"YES","YES","YES","NO","YES",0.05204082,0.94795918
"ID12798",37,"MALE","INNER_CITY",31979.9,"NO",1,"NO","YES","NO","YES","YES",0.05204082,0.94795918
"ID12802",52,"FEMALE","TOWN",33043.5,"NO",2,"NO","NO","NO","NO","YES",0.05204082,0.94795918
"ID12812",47,"MALE","SUBURBAN",35140.1,"YES",2,"YES","NO","NO","NO","YES",0.05204082,0.94795918
"ID12814",57,"MALE","INNER_CITY",37548.0,"NO",2,"NO","NO","YES","NO","YES",0.05204082,0.94795918
"ID12820",42,"FEMALE","TOWN",35712.8,"NO",2,"NO","NO","YES","YES","YES",0.05204082,0.94795918
"ID12835",44,"FEMALE","INNER_CITY",39740.5,"YES",2,"YES","YES","YES","YES","YES",0.05204082,0.94795918
"ID12836",66,"FEMALE","INNER_CITY",46738.7,"YES",2,"NO","YES","NO","YES","YES",0.05204082,0.94795918
"ID12838",41,"FEMALE","TOWN",38284.7,"YES",1,"YES","NO","YES","NO","YES",0.05204082,0.94795918
"ID12849",56,"FEMALE","RURAL",37699.6,"NO",1,"NO","YES","NO","NO","YES",0.05204082,0.94795918
