id,age,sex,region,income,married,children,car,save_act,current_act,mortgage
ID12701,23,MALE,INNER_CITY,18766.900,YES,0,YES,YES,NO,YES
ID12702,30,MALE,RURAL,9915.670,NO,1,NO,YES,NO,YES
ID12703,45,FEMALE,RURAL,21881.600,NO,0,YES,YES,YES,NO
ID12704,50,MALE,TOWN,46794.400,YES,2,NO,YES,NO,YES
ID12705,41,FEMALE,INNER_CITY,20721.100,YES,0,YES,YES,YES,NO
ID12706,20,MALE,INNER_CITY,16688.500,NO,1,NO,YES,YES,YES
ID12707,46,FEMALE,RURAL,39068.000,YES,0,YES,YES,NO,YES
ID12708,50,FEMALE,INNER_CITY,27740.800,YES,1,YES,YES,NO,YES
ID12709,42,MALE,INNER_CITY,33584.900,NO,3,YES,YES,NO,NO
ID12710,57,FEMALE,TOWN,19621.300,YES,1,YES,NO,YES,NO
ID12711,63,FEMALE,INNER_CITY,47630.900,YES,0,NO,YES,NO,YES
ID12712,26,FEMALE,INNER_CITY,22378.500,NO,0,YES,NO,YES,YES
ID12713,62,FEMALE,RURAL,20837.100,YES,0,YES,YES,YES,NO
ID12714,26,FEMALE,SUBURBAN,23912.700,YES,0,YES,YES,YES,NO
ID12715,19,MALE,RURAL,8005.130,YES,1,NO,YES,YES,NO
ID12716,44,MALE,TOWN,34961.700,YES,1,NO,NO,NO,YES
ID12717,32,FEMALE,INNER_CITY,24627.600,YES,0,YES,YES,YES,YES
ID12718,56,FEMALE,RURAL,47315.300,YES,3,YES,YES,NO,NO
ID12719,26,MALE,TOWN,13196.200,YES,3,NO,YES,YES,NO
ID12720,43,FEMALE,TOWN,20528.900,NO,3,YES,NO,YES,NO
ID12721,40,MALE,TOWN,37227.800,NO,1,YES,YES,YES,NO
ID12722,29,FEMALE,INNER_CITY,21022.600,YES,2,NO,NO,YES,NO
ID12723,54,MALE,RURAL,49986.700,YES,1,YES,YES,YES,NO
ID12724,51,MALE,RURAL,44199.900,YES,0,YES,YES,YES,YES
ID12725,24,FEMALE,INNER_CITY,20050.200,YES,3,YES,YES,NO,NO
ID12726,20,FEMALE,SUBURBAN,13013.900,NO,2,NO,YES,NO,YES
ID12727,48,FEMALE,TOWN,39465.800,YES,0,YES,NO,NO,NO
ID12728,52,FEMALE,RURAL,39387.700,YES,0,NO,YES,YES,YES
ID12729,58,MALE,RURAL,41114.200,YES,2,YES,YES,YES,YES
ID12730,25,FEMALE,INNER_CITY,11171.000,NO,0,YES,YES,YES,NO
