datetime	custid	store	product	brand	corner	import	amount	installment
2000-05-01 10:43	18313	신촌점	4104840008000	샤넬	화장품	1	113000	3
2000-05-01 11:00	18313	신촌점	2700000000000	식품	일반식품	0	91950	3
2000-05-01 11:33	27222	신촌점	4545370944500	까사미아	가구	0	598000	3
2000-05-01 11:43	27222	신촌점	4500860043900	대아통상	기타	0	20100	1
2000-05-01 11:53	27222	신촌점	4538130048700	토이플러스	문화완구	0	24000	1
2000-05-01 12:00	27222	신촌점	4406010020474	베베	유아동복	0	28000	1
2000-05-01 12:00	47084	무역점	4421060026971	오마샤리프	스포츠	0	150000	3
2000-05-01 12:03	27222	신촌점	4400280023100	NUK	유아동복	0	43800	1
2000-05-01 12:03	31090	무역점	4408171025000	잭니클라우스	스포츠	0	118000	3
2000-05-01 12:13	27222	신촌점	4401440022000	무냐무냐	유아동복	0	47000	1
2000-05-01 12:23	27222	신촌점	2139141008000	랑콤	화장품	0	143000	3
2000-05-01 12:30	27222	신촌점	2700000000000	식품	일반식품	0	43710	1
2000-05-01 12:43	31090	무역점	4209560111000	시스템	영캐주얼	0	35000	1
2000-05-01 13:12	13907	신촌점	4401951020000	블루독	유아동복	0	20000	1
2000-05-01 13:20	38979	천호점	2700000000000	식품	일반식품	0	38347	1
2000-05-01 13:22	13907	신촌점	4400280023100	NUK	유아동복	0	14000	1
2000-05-01 13:30	13907	신촌점	4404861029970	엘레쎄의류	스포츠	0	65000	3
2000-05-01 14:00	21877	무역점	2700000000000	식품	일반식품	0	70725	1
2000-05-01 14:03	31090	무역점	4139660008000	달팡	화장품	0	764000	3
2000-05-01 14:10	15288	무역점	4800429513002	밀라노스토리무역	캐릭터캐주얼	0	49000	1
2000-05-01 14:30	31090	무역점	2700000000000	식품	일반식품	0	16500	1
2000-05-01 14:40	15288	무역점	4230010013074	린	캐릭터캐주얼	0	198000	3
2000-05-01 14:50	16447	신촌점	4553010050770	토이스쿨	문화완구	0	118000	3
2000-05-01 15:03	38405	천호점	4109310008000	아모레	화장품	0	103000	3
2000-05-01 15:20	24621	본점	4207710010000	제이알	디자이너부띠끄	0	368000	3
2000-05-01 15:30	24548	천호점	4520930050873	베이비케어	문화완구	0	17000	1
2000-05-01 15:33	19686	신촌점	4401440022000	무냐무냐	유아동복	0	68200	1
2000-05-01 15:40	20670	본점	4525140043075	동성/브릴리앙스	조리욕실	0	64000	3
2000-05-01 15:40	47084	무역점	2700000000000	식품	일반식품	0	19080	1
2000-05-01 15:44	48278	신촌점	4400510025000	울시	스포츠	0	195000	3
2000-05-01 15:50	47084	무역점	4129580013082	비비뉴포트	수입명품	1	35000	1
2000-05-01 15:54	48278	신촌점	6418110025000	닥스골프	스포츠	0	195000	3
2000-05-01 16:00	14258	신촌점	2700000000000	식품	일반식품	0	93148	1
2000-05-01 16:00	24548	천호점	4409310120470	미키클럽	유아동복	0	33000	1
2000-05-01 16:00	48278	신촌점	4208792026010	키라라	영캐주얼	0	80100	3
2000-05-01 16:23	45046	무역점	4139142008000	헤레나	화장품	0	29000	1
2000-05-01 16:30	38092	본점	2700000000000	식품	일반식품	0	52274	1
2000-05-01 16:40	41407	본점	2700000000000	식품	일반식품	0	15112	1
2000-05-01 16:43	48278	신촌점	4109160008000	크리스챤디올화장품	화장품	1	182000	3
2000-05-01 16:50	13769	천호점	4119730004077	미광	피혁	0	69000	1
