custid	gender	age	marriage	residence	job
10070	여	28	미혼	Yongsan-gu	제조업
10139	여	28	미혼	Gangdong-gu	정보서비스
10208	여	28	미혼	Gwangjin-gu	제조업
10275	여	28	미혼	Eunpyeong-gu	개인사업
10350	남	28	미혼	Gangnam-gu	제조업
10425	남	28	미혼	Songpa-gu	교육기관
10499	여	28	미혼	Seodaemun-gu	개인사업
10567	여	28	미혼	Dongjak-gu	정보서비스
10632	여	28	미혼	Eunpyeong-gu	개인사업
10707	여	28	기혼	Dongjak-gu	개인사업
10783	여	28	미혼	Dongjak-gu	개인사업
10853	여	28	미혼	Jungnang-gu	제조업
10919	여	28	기혼	Dongdaemun-gu	개인사업
10983	여	28	미혼	Gangnam-gu	의료기관
11046	여	28	미혼	Seongdong-gu	금융기관
11113	여	28	미혼	Seocho-gu	의료기관
11182	남	28	미혼	Mapo-gu	개인사업
11264	여	28	미혼	Seodaemun-gu	교육기관
11343	여	28	기혼	Gwanak-gu	개인사업
11421	여	27	미혼	Gangseo-gu	의료기관
11489	남	29	미혼	Gangbuk-gu	개인사업
11563	여	28	기혼	Guro-gu	제조업
11631	여	28	기혼	Yangcheon-gu	운송서비스
11694	여	28	미혼	Dongdaemun-gu	정보서비스
11767	여	30	기혼	Songpa-gu	제조업
11843	남	28	미혼	Seodaemun-gu	그룹사
11905	여	29	기혼	Songpa-gu	개인사업
11969	남	29	미혼	Seocho-gu	개인사업
12035	남	29	미혼	Seodaemun-gu	의료기관
12105	여	29	미혼	Gangdong-gu	제조업
12175	여	29	기혼	Seongdong-gu	개인사업
12246	여	29	미혼	Dongdaemun-gu	개인사업
12321	여	29	기혼	Dongjak-gu	개인사업
12394	여	29	미혼	Seodaemun-gu	교육기관
12461	여	29	미혼	Seocho-gu	금융기관
12526	여	29	미혼	Eunpyeong-gu	제조업
12596	여	29	미혼	Jongno-gu	제조업
12664	여	29	미혼	Mapo-gu	제조업
12733	여	29	기혼	Gwanak-gu	개인사업
12806	여	29	미혼	Seongdong-gu	개인사업
12867	여	29	기혼	Jongno-gu	금융기관
12932	여	29	미혼	Jongno-gu	개인사업
13008	여	29	미혼	Seocho-gu	교육기관
13072	남	29	미혼	Gwanak-gu	그룹사
13143	여	29	기혼	Gwanak-gu	개인사업
13215	여	29	미혼	Yangcheon-gu	제조업
13277	여	29	미혼	Eunpyeong-gu	제조업
13357	여	29	미혼	Eunpyeong-gu	제조업
13427	여	29	미혼	Mapo-gu	제조업
13493	여	31	미혼	Mapo-gu	제조업
13558	여	29	미혼	Gangnam-gu	공공기관
13628	여	29	미혼	Gangnam-gu	의료기관
13694	여	29	기혼	Seocho-gu	제조업
13769	여	29	미혼	Jungnang-gu	금융기관
13841	여	29	미혼	Seocho-gu	개인사업
13907	남	29	기혼	Seodaemun-gu	그룹사
13972	남	29	미혼	Nowon-gu	공무원
14035	여	29	기혼	Dongjak-gu	의료기관
14117	여	29	기혼	Seodaemun-gu	공공기관
14189	여	29	미혼	Mapo-gu	금융기관
14258	여	29	기혼	Seodaemun-gu	개인사업
14328	여	29	기혼	Dongjak-gu	건설업
14395	남	29	미혼	Eunpyeong-gu	건설업
14460	여	30	미혼	Seodaemun-gu	제조업
14530	여	30	기혼	Jung-gu	운송서비스
14598	여	30	미혼	Gangbuk-gu	금융기관
14657	여	30	기혼	Yangcheon-gu	개인사업
14736	남	30	미혼	Yangcheon-gu	제조업
