ADDR,adr1,adr2,adr3,zipcode,long,lat
서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,100011,126.9823375,37.5610083
서울특별시 중구 충무로2가,서울특별시,중구,충무로2가,100012,126.9863082,37.5614609
서울특별시 중구 충무로3가,서울특별시,중구,충무로3가,100013,126.9917137,37.5623684
서울특별시 중구 충무로4가,서울특별시,중구,충무로4가,100014,126.995875,37.5622333
서울특별시 중구 충무로5가,서울특별시,중구,충무로5가,100015,126.9996117,37.5628253
서울특별시 중구 명동1가,서울특별시,중구,명동1가,100021,126.9846306,37.5642844
서울특별시 중구 명동2가,서울특별시,중구,명동2가,100022,126.985175,37.562667
서울특별시 중구 저동1가,서울특별시,중구,저동1가,100031,126.9877732,37.5644111
서울특별시 중구 저동2가,서울특별시,중구,저동2가,100032,126.9895125,37.564275
서울특별시 중구 남산동1가,서울특별시,중구,남산동1가,100041,126.9845658,37.559329
서울특별시 중구 남산동2가,서울특별시,중구,남산동2가,100042,126.9858,37.558333
서울특별시 중구 남산동3가,서울특별시,중구,남산동3가,100043,126.9874194,37.5601542
서울특별시 중구 회현동1가,서울특별시,중구,회현동1가,100051,126.9793216,37.5572864
서울특별시 중구 회현동2가,서울특별시,중구,회현동2가,100052,126.9793216,37.5572864
서울특별시 중구 회현동3가,서울특별시,중구,회현동3가,100053,126.9840453,37.5601498
서울특별시 중구 남창동,서울특별시,중구,남창동,100060,126.977437,37.5581
서울특별시 중구 소공동,서울특별시,중구,소공동,100070,126.9771842,37.562294
서울특별시 중구 북창동,서울특별시,중구,북창동,100080,126.9783,37.5623
서울특별시 중구 남대문로1가,서울특별시,중구,남대문로1가,100091,126.9828284,37.567562
서울특별시 중구 남대문로2가,서울특별시,중구,남대문로2가,100092,126.9820862,37.5639364
서울특별시 중구 남대문로3가,서울특별시,중구,남대문로3가,100093,126.9795598,37.5616819
서울특별시 중구 남대문로4가,서울특별시,중구,남대문로4가,100094,126.975609,37.5605941
서울특별시 중구 남대문로5가,서울특별시,중구,남대문로5가,100095,126.975,37.5560916
서울특별시 중구 충무로1가 서울지방우정청,서울특별시,중구,충무로1가,100100,,
서울특별시 중구 태평로1가,서울특별시,중구,태평로1가,100101,126.9772483,37.5676845
서울특별시 중구 태평로2가,서울특별시,중구,태평로2가,100102,126.9763563,37.5629891
서울특별시 중구 서소문동,서울특별시,중구,서소문동,100110,126.973425,37.563275
서울특별시 중구 정동,서울특별시,중구,정동,100120,126.972925,37.5664
서울특별시 중구 순화동,서울특별시,중구,순화동,100130,126.970438,37.562758
서울특별시 중구 의주로1가,서울특별시,중구,의주로1가,100141,126.9684811,37.5640069
서울특별시 중구 의주로2가,서울특별시,중구,의주로2가,100142,126.9695899,37.5607179
서울특별시 중구 충정로1가,서울특별시,중구,충정로1가,100151,126.9682256,37.5664821
서울특별시 중구 봉래동1가,서울특별시,중구,봉래동1가,100161,126.9727408,37.5590813
서울특별시 중구 봉래동2가,서울특별시,중구,봉래동2가,100162,126.970975,37.556575
서울특별시 중구 무교동,서울특별시,중구,무교동,100170,126.9789777,37.568139
서울특별시 중구 다동,서울특별시,중구,다동,100180,126.980913,37.568133
서울특별시 중구 을지로1가,서울특별시,중구,을지로1가,100191,126.9805525,37.5659693
서울특별시 중구 을지로2가,서울특별시,중구,을지로2가,100192,126.985638,37.56585
서울특별시 중구 을지로3가,서울특별시,중구,을지로3가,100193,126.9921499,37.5662166
서울특별시 중구 을지로4가,서울특별시,중구,을지로4가,100194,126.9968,37.5663
서울특별시 중구 을지로5가,서울특별시,중구,을지로5가,100195,127.0026624,37.5665166
서울특별시 중구 을지로6가,서울특별시,중구,을지로6가,100196,127.006938,37.567717
서울특별시 중구 을지로7가,서울특별시,중구,을지로7가,100197,127.010437,37.566325
서울특별시 중구 삼각동,서울특별시,중구,삼각동,100200,126.9842186,37.5680796
서울특별시 중구 수하동,서울특별시,중구,수하동,100210,126.9846085,37.5672663
서울특별시 중구 장교동,서울특별시,중구,장교동,100220,126.9869526,37.5674311
서울특별시 중구 수표동,서울특별시,중구,수표동,100230,126.9890374,37.5671416
서울특별시 중구 주자동,서울특별시,중구,주자동,100240,126.9893712,37.5606415
서울특별시 중구 예장동,서울특별시,중구,예장동,100250,126.9897999,37.5553
서울특별시 중구 남학동,서울특별시,중구,남학동,100260,126.9907972,37.5605568
서울특별시 중구 필동1가,서울특별시,중구,필동1가,100271,126.9924374,37.5607583
