ID	heel	tee	skirt	knit	jacket	jewelry	coat	flat	shorts	blous
1	1	0	0	0	0	0	0	0	1	0
2	1	0	0	0	0	0	0	1	0	0
3	1	0	0	0	0	0	0	1	1	0
4	1	0	0	0	1	1	0	0	0	0
5	1	0	0	0	0	0	0	0	0	0
6	1	0	0	0	0	1	0	0	1	1
7	1	0	0	0	0	1	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0
9	1	0	0	0	1	0	0	0	1	1
10	1	0	0	0	0	0	0	0	0	0
11	1	0	0	0	0	0	0	0	0	0
12	1	1	1	0	1	1	0	0	1	0
13	1	0	0	0	0	0	0	0	0	0
14	1	0	0	0	0	0	0	0	1	1
15	1	0	0	0	0	0	0	0	0	0
16	1	0	1	0	0	0	0	0	0	0
17	1	0	0	0	0	0	0	0	0	0
18	1	0	0	0	0	0	0	0	1	0
19	1	0	0	0	0	1	0	0	0	1
20	1	0	0	1	0	0	0	0	0	1
21	1	0	0	0	0	0	0	0	0	0
22	1	0	0	0	0	0	0	0	0	0
23	1	0	0	0	0	0	0	0	0	0
24	1	0	0	0	0	1	0	1	1	0
25	1	0	0	0	0	0	0	0	1	0
26	1	0	1	0	1	0	0	0	1	0
27	1	0	0	0	0	0	0	0	0	0
28	1	1	0	0	0	0	0	0	1	0
29	1	0	0	0	0	1	0	0	1	0
30	1	0	1	0	0	1	0	0	0	0
31	1	0	0	0	0	0	0	0	0	0
32	1	0	0	0	0	0	0	0	0	1
33	1	1	0	0	0	0	0	0	0	1
34	1	1	0	0	0	0	0	0	1	0
35	1	0	0	0	0	0	0	0	0	0
36	1	0	0	0	0	1	0	0	0	0
37	1	0	0	0	0	0	0	0	0	0
38	1	0	0	0	0	0	0	0	0	0
39	1	0	0	0	0	0	0	0	0	0
40	1	0	0	0	0	0	0	0	0	0
41	1	0	0	0	0	0	0	0	1	0
42	1	0	0	0	0	0	0	0	0	0
43	1	0	0	0	0	0	0	0	0	0
44	1	0	0	0	0	0	0	0	0	0
45	1	0	0	0	0	0	0	0	0	0
46	1	0	0	0	0	0	0	0	1	1
47	1	0	0	0	0	0	0	0	0	0
48	1	0	0	0	0	0	0	0	0	1
49	1	0	0	0	0	0	0	0	0	0
50	1	1	1	0	0	0	0	0	1	0
51	1	0	0	0	0	0	0	0	0	0
52	1	0	0	0	0	0	0	0	0	1
53	1	0	0	0	0	0	0	0	1	0
54	1	0	0	0	0	1	0	0	1	0
55	1	1	1	0	0	0	0	1	0	0
56	1	0	0	0	0	0	0	0	0	0
57	1	0	0	0	0	1	0	0	0	0
58	1	1	1	0	0	0	0	0	1	0
59	1	0	0	0	0	0	0	0	1	0
60	1	0	1	0	0	0	0	0	0	0
61	1	0	0	0	0	0	0	0	0	0
62	1	0	0	0	0	0	0	0	1	1
63	1	1	0	0	0	1	1	0	0	1
64	1	0	0	0	0	0	0	0	1	0
65	1	0	0	0	0	0	0	0	1	0
66	1	0	0	0	0	0	0	0	0	0
67	1	0	0	0	0	0	0	0	1	0
68	1	1	0	0	0	1	0	0	1	0
69	1	0	0	0	0	0	0	0	0	0
70	1	0	0	0	0	1	0	0	0	0
71	1	0	0	0	0	1	0	0	0	0
72	1	1	0	0	0	1	0	1	0	1
73	1	0	0	0	1	0	0	0	1	0
74	1	0	0	0	0	1	0	0	0	0
75	1	0	0	0	0	0	0	0	0	0
76	1	0	0	0	0	0	0	0	1	1
77	1	0	1	0	0	0	0	0	0	0
78	1	0	0	0	0	0	0	0	1	0
79	1	0	0	0	0	0	0	0	0	0
80	1	1	1	0	0	0	0	1	0	0
81	1	1	0	0	0	0	0	0	0	0
82	1	0	0	0	0	0	0	0	0	0
83	1	1	0	0	0	0	0	0	0	0
84	1	0	0	0	0	1	0	0	0	0
85	1	0	0	0	0	0	0	0	0	0
86	1	0	0	0	0	0	0	0	0	0
87	1	0	0	0	0	0	0	0	0	0
88	1	0	0	0	0	0	0	0	0	0
89	1	0	0	0	0	0	0	0	0	0
90	1	0	0	0	0	0	0	0	0	0
91	1	0	0	0	0	0	0	0	0	0
92	1	0	0	0	0	0	0	0	0	0
93	1	0	0	0	0	0	0	0	1	0
94	1	0	0	0	0	0	0	0	1	1
95	1	0	0	0	0	0	0	0	0	0
96	1	0	0	0	0	1	0	0	0	0
97	1	1	0	0	0	0	0	0	0	1
98	1	0	0	0	0	1	0	0	0	0
99	1	0	0	0	0	0	0	0	0	0
100	1	1	1	0	0	0	0	0	0	0
101	1	0	0	0	0	0	0	0	1	1
102	1	0	0	0	0	0	0	0	1	0
103	1	0	0	0	0	0	0	0	0	0
104	1	0	0	0	0	0	0	0	0	0
105	1	0	0	0	0	0	0	0	1	0
106	1	1	1	0	0	0	0	0	1	0
107	1	0	0	0	0	0	0	0	0	0
108	1	0	0	0	0	0	0	0	0	0
109	1	0	0	0	1	0	0	0	1	0
110	1	0	1	0	0	1	0	0	0	0
111	1	1	0	0	0	0	0	1	1	0
112	1	0	0	0	0	0	0	0	0	0
113	1	0	0	0	0	1	0	0	0	0
114	1	0	0	0	0	0	0	0	1	1
115	1	0	0	0	0	1	0	1	1	1
116	1	0	1	0	0	0	0	0	1	0
117	1	1	0	0	0	0	0	0	0	0
118	1	0	0	0	0	0	0	0	0	0
119	1	0	0	0	0	1	0	0	0	0
120	1	0	0	0	0	0	0	0	1	0
121	1	0	0	0	0	1	0	0	1	0
122	1	0	0	0	1	1	0	0	1	0
123	1	1	0	0	0	1	0	0	0	0
124	1	0	1	0	1	0	0	0	0	0
125	1	0	0	0	0	0	0	0	0	0
126	1	0	0	0	0	0	0	0	0	0
127	1	0	0	0	0	1	0	0	0	0
128	1	0	0	0	0	0	0	0	0	0
129	1	0	0	0	0	1	0	0	0	0
130	1	0	0	0	0	0	0	0	0	0
131	1	0	0	0	0	0	0	0	0	0
132	1	0	0	0	0	0	0	0	0	0
133	1	0	0	0	0	0	0	0	0	0
134	1	0	0	0	1	1	0	1	1	0
135	1	1	0	0	0	0	1	0	1	1
136	1	0	0	0	0	0	0	0	1	0
137	1	1	1	0	0	0	0	0	1	0
138	1	0	0	0	0	0	0	0	0	0
139	1	1	1	0	0	0	0	0	1	0
140	1	0	0	0	0	0	0	0	0	0
141	1	0	1	0	0	0	0	0	1	0
142	1	1	1	0	1	1	0	0	0	1
143	1	0	0	0	0	0	0	0	0	0
144	1	1	0	0	0	0	0	0	0	0
145	1	1	1	0	0	0	0	0	1	1
146	1	1	1	1	0	1	1	0	1	1
147	1	1	1	0	0	1	0	1	1	1
148	1	1	1	0	0	1	0	0	0	1
149	1	1	1	0	1	1	0	0	0	1
150	1	1	1	0	1	1	0	0	1	1
151	1	1	1	0	1	0	0	1	1	1
152	1	1	1	0	0	1	0	0	1	1
153	0	0	0	0	0	0	0	0	0	1
154	0	1	1	0	0	0	0	0	0	1
155	0	0	0	0	0	0	0	0	0	1
156	0	0	0	0	0	0	0	0	0	1
157	1	0	0	0	0	0	0	0	0	1
158	1	0	1	0	0	0	0	0	0	1
159	0	1	0	0	0	0	0	0	0	1
160	1	1	1	0	1	1	1	0	1	1
161	0	0	1	0	0	0	0	0	0	1
162	0	0	0	0	0	0	0	0	0	1
163	0	0	0	0	0	0	0	0	0	1
164	0	0	0	0	1	0	0	0	0	1
165	0	0	0	0	0	0	0	0	0	1
166	0	0	0	1	0	0	0	0	0	1
167	0	0	0	0	0	0	0	0	0	1
168	0	0	0	0	0	0	0	0	0	1
169	0	0	1	0	0	1	0	0	0	1
170	0	0	0	0	0	0	0	0	0	1
171	0	0	0	0	0	0	0	0	0	1
172	1	0	1	0	0	1	0	0	1	1
173	0	0	0	0	0	1	0	0	0	1
174	0	0	0	0	0	0	0	0	0	1
175	0	0	0	1	0	0	0	0	1	1
176	0	0	0	0	0	0	0	0	0	1
177	0	0	0	0	0	0	0	0	0	1
178	0	0	0	0	0	0	0	0	0	1
179	0	0	1	0	0	0	0	0	1	1
180	0	0	0	0	0	0	0	0	0	1
181	0	1	0	0	0	0	0	0	0	1
182	0	0	0	0	0	0	0	0	0	1
183	1	0	0	0	0	0	0	0	0	1
184	0	0	0	0	0	0	0	0	0	1
185	1	0	1	0	1	0	0	0	1	1
186	1	1	0	0	0	0	0	0	1	1
187	1	0	0	0	0	1	0	0	0	1
188	1	0	0	0	0	0	0	0	0	1
189	0	0	0	0	0	0	0	0	0	1
190	0	0	1	1	0	0	0	0	0	1
191	0	0	0	0	0	0	0	0	0	1
192	0	0	0	0	0	0	0	0	0	1
193	0	0	0	0	0	0	0	0	1	1
194	1	0	0	0	0	0	0	0	1	1
195	0	1	0	0	0	1	0	0	0	1
196	0	0	0	0	0	0	0	0	0	1
197	0	1	0	0	0	0	0	0	0	1
198	0	0	0	0	0	0	0	0	1	1
199	0	0	0	0	0	0	0	0	0	1
200	0	0	0	0	0	0	0	0	0	1
201	0	0	0	0	0	1	0	0	0	1
202	0	0	0	0	0	0	0	0	0	1
203	1	0	0	0	1	1	0	0	0	1
204	0	0	0	0	0	0	0	0	0	1
205	0	0	0	0	0	0	0	0	0	1
206	0	0	0	0	0	0	0	0	0	1
207	0	0	0	0	1	0	0	0	1	1
208	0	0	0	0	0	0	0	0	0	1
209	1	1	0	0	0	0	0	0	0	1
210	0	0	0	0	0	1	0	1	1	1
211	0	0	0	0	0	0	0	0	1	1
212	0	1	1	0	0	1	0	0	0	1
213	0	0	0	0	0	0	0	0	0	1
214	1	0	0	0	0	0	0	0	0	1
215	0	0	0	0	0	0	0	0	1	1
216	0	0	0	0	0	0	0	0	0	1
217	1	0	0	1	0	0	0	0	1	1
218	0	0	0	0	0	0	0	0	0	1
219	1	1	1	1	1	1	0	0	1	1
220	1	0	0	0	0	0	0	0	0	1
221	1	0	0	0	1	1	0	0	0	1
222	1	0	0	0	1	1	0	0	0	1
223	0	0	0	0	0	0	0	0	0	1
224	0	0	0	0	0	0	0	0	1	1
225	0	0	0	0	0	0	0	0	1	1
226	1	1	1	0	1	1	0	1	1	1
227	0	0	0	0	0	0	0	0	0	1
228	1	0	1	0	0	1	0	0	0	1
229	1	0	0	0	0	0	0	0	1	1
230	0	0	0	0	0	0	0	0	0	1
231	0	1	0	0	1	1	0	0	1	1
232	0	1	0	1	0	1	0	0	1	1
233	1	0	0	0	0	0	0	0	0	1
234	0	0	0	0	0	0	0	0	0	1
235	0	0	0	0	0	0	0	0	0	1
236	0	0	0	0	0	1	0	0	0	1
237	0	0	0	0	0	0	0	0	1	1
238	0	1	0	0	0	0	0	0	0	1
239	1	0	0	1	1	1	0	0	1	1
240	0	1	0	0	0	0	0	0	0	1
241	0	1	1	0	0	0	0	0	0	1
242	0	0	0	0	0	1	0	0	0	1
243	0	1	1	0	0	1	0	0	0	1
244	0	0	0	0	0	0	0	0	0	1
245	0	1	0	1	0	1	0	0	1	1
246	1	0	1	0	0	0	0	0	1	1
247	1	0	0	0	0	0	0	0	1	1
248	1	0	0	0	0	0	0	0	1	1
249	0	1	0	0	0	1	0	0	0	1
250	0	0	0	0	0	0	0	0	0	1
251	0	0	0	0	0	0	0	0	1	1
252	0	0	0	0	0	0	0	0	0	1
253	0	0	0	0	0	0	0	0	0	1
254	1	0	0	0	0	1	0	0	1	1
255	0	0	0	0	0	1	0	0	0	1
256	0	0	0	0	0	0	0	0	0	1
257	0	1	0	0	0	0	0	0	1	1
258	0	0	0	0	0	0	0	0	0	1
259	0	0	0	0	0	0	0	0	1	1
260	1	0	1	0	0	1	0	1	1	1
261	0	1	0	0	0	1	0	0	0	1
262	0	0	0	0	0	0	0	0	0	1
263	0	0	0	0	0	1	0	0	1	1
264	0	0	1	0	1	0	0	0	1	1
265	0	0	0	0	0	0	0	1	0	1
266	1	0	0	0	0	0	1	0	1	1
267	0	0	0	0	0	0	0	0	0	1
268	0	0	0	0	1	0	0	0	0	1
269	0	0	0	0	0	0	0	0	0	1
270	0	1	0	0	0	1	0	0	1	1
271	0	0	0	0	0	0	0	0	0	1
272	0	0	0	0	0	0	0	0	0	1
273	0	0	1	0	0	1	0	0	0	1
274	0	0	0	0	0	0	0	0	0	1
275	1	0	0	0	0	0	0	0	1	1
276	0	0	0	0	0	1	0	0	0	1
277	0	0	0	0	1	1	0	0	0	1
278	0	1	0	0	0	0	0	0	0	1
279	0	1	0	0	0	1	0	0	0	1
280	0	0	0	0	0	0	0	0	0	1
281	0	0	1	0	0	0	0	0	0	1
282	0	0	0	0	0	0	0	0	0	1
283	0	1	0	0	0	1	0	0	1	1
284	0	0	0	0	0	0	0	0	0	1
285	0	0	0	0	0	0	0	0	1	1
286	1	0	1	0	0	1	0	0	0	1
287	1	1	1	1	0	1	0	0	1	1
288	0	0	0	0	0	0	0	0	0	1
289	0	0	1	0	0	1	0	0	0	1
290	1	1	1	0	1	1	0	1	1	1
291	1	0	0	0	0	0	0	0	1	1
292	0	0	0	0	0	0	0	0	0	1
293	1	1	0	1	0	1	1	0	1	1
294	1	0	1	0	0	1	0	0	1	1
295	0	0	0	0	0	0	0	0	0	1
296	1	0	0	0	0	1	0	0	1	1
297	0	0	0	1	1	1	0	0	1	1
298	0	0	0	0	0	0	0	0	1	1
299	1	0	0	0	0	1	0	0	0	1
300	1	1	0	0	0	0	0	0	1	1
301	0	0	0	0	0	0	0	0	1	1
302	0	0	0	0	0	0	0	0	0	1
303	0	1	0	0	0	1	0	0	0	1
304	0	1	0	0	0	0	0	0	0	1
305	0	0	0	1	0	0	0	0	0	1
306	1	0	0	1	1	1	0	0	1	1
307	0	0	0	0	0	0	0	0	1	1
308	1	1	0	0	0	0	0	0	0	1
309	1	0	0	0	1	0	0	0	1	1
310	0	0	0	0	0	1	0	0	0	1
311	0	0	0	0	0	0	0	0	0	1
312	0	0	0	0	0	0	0	0	0	1
313	1	1	1	0	1	0	1	1	1	0
314	1	0	0	0	0	0	0	0	1	0
315	1	1	1	0	1	1	0	1	1	0
316	1	0	1	0	0	1	0	0	1	1
317	1	0	1	0	1	1	0	0	1	1
318	1	0	0	0	0	0	0	1	1	0
319	1	0	1	0	0	1	0	1	0	0
320	1	1	1	1	1	1	1	0	1	1
321	1	0	1	0	0	1	0	0	0	0
322	1	1	0	1	1	1	0	0	0	1
323	1	0	1	0	0	0	0	0	1	1
324	1	1	1	0	0	1	0	0	0	1
325	1	0	0	0	0	0	0	0	1	0
326	1	0	0	0	1	1	0	1	0	0
327	1	0	0	0	0	1	0	0	0	0
328	1	1	1	0	1	1	0	1	1	0
329	1	0	1	1	1	1	0	0	1	1
330	1	1	1	0	1	1	0	0	0	0
331	1	1	1	0	1	1	1	0	1	1
332	1	0	1	0	0	1	0	0	1	1
333	1	1	1	0	1	1	0	0	1	1
334	1	1	1	0	1	1	0	0	1	1
335	1	1	1	1	1	1	0	0	0	0
336	1	0	0	0	0	1	0	0	0	0
337	1	0	0	0	0	0	0	0	1	0
338	1	0	1	0	0	1	0	0	0	0
339	1	0	0	0	0	1	0	0	0	0
340	1	1	1	0	0	1	0	0	1	0
341	1	1	1	0	1	0	0	0	1	0
342	1	1	0	1	1	1	1	1	1	1
343	1	0	1	0	1	1	0	0	1	0
344	1	1	1	0	0	1	0	0	1	1
345	1	1	1	0	1	1	0	0	1	1
346	1	0	1	1	1	1	0	0	1	1
347	1	1	1	0	1	1	1	0	1	1
348	1	0	1	0	1	1	0	0	1	1
349	1	1	1	1	0	1	0	0	1	1
350	1	1	1	1	1	1	0	0	0	1
351	1	1	1	1	1	1	0	0	1	1
352	1	1	1	0	0	1	0	0	1	1
353	0	1	1	0	1	1	0	0	1	1
354	1	1	1	0	1	0	0	0	0	1
355	1	0	1	0	1	1	0	0	1	1
356	0	1	1	1	1	1	0	1	0	1
357	1	1	1	0	1	0	0	0	1	1
358	1	1	1	0	1	1	0	0	0	1
359	1	1	1	0	1	1	0	0	0	1
360	1	1	1	1	1	1	0	1	1	1
361	1	1	1	0	1	1	0	0	0	1
362	1	1	1	0	1	0	1	0	1	1
363	1	1	0	0	1	1	0	0	1	1
364	1	1	1	0	1	1	1	1	1	1
365	1	1	1	0	1	0	1	1	1	1
366	1	1	1	0	1	1	0	0	1	1
367	1	1	1	0	1	1	1	0	1	1
368	1	1	1	1	1	1	0	0	0	1
369	1	1	1	1	1	1	0	1	1	1
370	1	1	1	1	1	1	0	1	1	1
371	1	1	1	0	0	1	0	0	1	1
372	0	0	0	0	1	0	0	0	0	1
373	1	1	1	0	1	1	0	0	1	1
374	1	1	1	0	1	1	0	0	1	1
375	1	1	1	1	0	1	0	1	1	1
376	1	0	0	0	1	1	0	0	1	1
377	1	0	1	0	1	0	1	0	0	1
378	1	0	1	0	1	1	0	0	1	1
379	1	1	1	1	0	0	1	0	1	1
380	1	0	1	0	0	1	0	0	1	1
381	1	1	1	0	1	1	0	0	1	1
382	1	1	1	0	0	1	1	0	1	1
383	1	0	1	1	1	0	0	0	0	1
384	0	1	0	0	1	0	0	0	0	1
385	0	1	0	0	0	0	0	1	0	1
386	0	1	1	1	1	1	0	1	0	1
387	1	1	1	1	0	0	0	0	1	1
388	1	1	0	0	1	1	0	0	0	1
389	1	1	1	0	0	0	0	0	0	1
390	0	0	0	0	1	0	0	0	1	1
391	0	1	0	0	0	0	0	0	0	1
392	1	1	0	0	0	0	0	0	0	1
393	0	1	1	0	0	0	0	0	1	1
394	0	0	0	0	0	1	0	0	1	1
395	1	0	1	0	1	1	0	1	1	0
396	0	0	0	1	0	0	0	0	1	1
397	1	0	0	0	0	1	0	0	1	0
398	0	1	1	0	0	0	0	1	1	0
399	1	1	0	0	0	1	0	0	0	0
400	0	1	1	0	1	1	0	0	1	1
401	0	0	0	0	0	0	0	0	1	0
402	1	0	0	0	0	1	0	0	0	0
403	1	1	1	0	0	1	0	0	1	1
404	0	0	0	1	0	1	0	0	0	0
405	0	0	0	0	0	1	0	0	0	0
406	0	0	1	0	0	0	0	0	1	1
407	1	0	0	0	1	1	0	0	1	0
408	0	1	0	0	0	1	0	1	1	1
409	0	1	1	0	0	1	0	1	1	1
410	1	1	1	0	0	1	0	0	0	1
411	0	0	1	0	0	0	0	0	1	1
412	0	0	0	0	0	0	0	0	1	0
413	0	0	0	1	0	0	0	0	1	0
414	1	0	0	0	1	1	1	0	0	1
415	0	0	0	0	0	0	0	0	1	0
416	0	0	0	0	0	0	0	0	1	1
417	0	1	0	0	0	1	0	0	0	0
418	0	1	1	0	0	1	0	0	0	0
419	0	0	0	0	0	0	0	0	1	0
420	0	0	0	0	0	0	0	0	1	0
421	0	0	0	0	0	1	0	0	1	0
422	0	1	1	0	1	1	0	0	1	0
423	0	0	0	0	1	1	0	0	1	0
424	0	0	1	0	0	0	0	0	1	0
425	0	1	0	0	0	1	0	0	1	1
426	0	1	1	1	1	1	0	0	1	1
427	0	0	0	0	0	1	0	0	0	0
428	1	1	0	0	1	1	0	0	0	1
429	1	1	0	0	0	1	0	0	0	1
430	0	0	0	0	0	1	0	0	0	0
431	0	0	0	0	0	1	0	0	0	0
432	0	0	0	0	0	1	0	0	1	0
433	1	1	0	0	0	0	0	0	1	0
434	0	0	0	0	0	0	0	0	1	0
435	0	0	0	0	0	1	0	1	1	0
436	0	0	0	0	0	1	0	0	0	0
437	0	0	0	0	0	0	0	0	1	0
438	0	0	0	0	0	0	0	0	1	0
439	0	0	0	0	0	1	0	1	1	0
440	0	1	0	0	1	1	0	1	1	1
441	0	0	0	0	1	0	0	0	0	0
442	0	0	0	1	1	1	0	0	1	1
443	0	0	1	0	0	1	0	1	1	0
444	0	1	0	1	0	1	0	0	1	0
445	1	0	0	0	0	1	0	0	0	0
446	1	0	0	0	1	1	0	0	0	0
447	1	0	0	0	0	1	0	0	0	1
448	0	0	0	0	0	1	0	0	1	0
449	0	0	0	0	0	1	0	0	0	0
450	0	0	0	0	0	0	0	0	1	0
451	1	0	0	0	1	1	0	0	0	0
452	0	0	1	0	1	1	0	0	0	0
453	0	0	0	0	0	1	0	0	1	1
454	1	0	0	0	0	1	0	0	1	0
455	1	1	0	0	0	1	0	0	1	0
456	0	0	1	0	0	1	0	0	0	0
457	0	0	0	0	0	0	0	0	1	0
458	0	0	0	0	0	1	0	1	1	0
459	1	0	0	0	1	0	0	0	0	1
460	1	1	0	0	0	1	0	0	0	1
461	0	1	0	0	0	0	0	0	1	0
462	0	0	0	0	0	1	0	0	0	0
463	0	0	0	0	0	1	0	0	0	0
464	0	0	0	1	1	0	1	0	1	0
465	0	1	0	0	0	1	0	0	0	1
466	1	1	1	0	1	1	1	0	1	1
467	0	0	0	0	0	0	0	0	1	0
468	0	0	0	0	0	0	0	0	1	0
469	0	0	0	0	0	1	0	0	0	0
470	0	1	1	0	0	1	0	1	1	1
471	1	0	0	0	0	1	0	0	0	0
472	0	1	1	0	0	1	0	0	1	0
473	0	0	0	0	0	0	0	0	1	1
474	1	1	1	0	1	1	0	1	1	1
475	0	0	0	0	0	0	0	0	1	0
476	1	1	0	0	0	1	0	0	1	0
477	0	0	0	0	0	0	0	0	1	1
478	0	0	1	0	0	1	0	0	0	1
479	0	0	0	0	0	0	0	0	1	0
480	1	0	1	0	0	1	0	1	1	0
481	0	0	1	0	0	1	0	0	1	0
482	0	1	0	0	0	1	0	0	1	1
483	0	0	1	0	0	0	0	0	1	1
484	0	0	0	0	0	0	0	0	1	0
485	1	1	0	0	0	1	0	0	1	1
486	1	1	0	1	1	1	0	1	1	1
487	1	0	0	0	1	1	0	0	0	1
488	1	1	1	0	0	1	0	0	0	0
489	1	1	1	0	1	1	0	0	1	1
490	1	0	0	0	1	1	0	0	1	1
491	0	1	1	0	0	1	0	0	1	0
492	0	1	0	0	0	1	0	0	1	1
493	1	1	1	0	0	1	0	0	1	1
494	0	0	0	0	0	0	0	0	1	0
495	1	0	1	0	0	1	0	0	1	1
496	0	0	0	0	0	1	0	0	0	0
497	0	0	0	0	0	0	0	0	1	0
498	1	0	0	0	1	1	0	0	1	0
499	1	0	0	0	0	1	0	0	0	0
500	0	0	0	0	0	0	0	0	1	0
501	1	1	0	0	0	1	0	0	1	1
502	1	1	0	0	1	0	0	0	1	0
503	0	0	1	1	0	0	0	1	1	1
504	1	0	0	0	0	1	0	0	0	0
505	0	0	1	0	1	1	0	0	1	1
506	0	1	1	0	1	1	0	1	1	0
507	0	0	0	0	0	0	0	0	1	0
508	1	1	1	0	0	1	0	0	1	1
509	0	1	0	1	1	0	0	0	0	1
510	0	1	1	0	0	1	0	1	1	0
511	1	0	0	0	0	1	0	0	1	0
512	0	1	0	0	0	1	0	0	0	0
513	1	1	1	0	1	1	0	1	1	1
514	0	0	0	0	0	1	0	0	0	0
515	0	1	1	1	0	0	0	0	1	1
516	1	0	1	0	1	1	0	0	1	0
517	1	1	0	0	1	1	0	0	0	1
518	0	0	0	1	1	0	0	0	1	0
519	0	0	0	0	0	0	0	0	1	0
520	0	0	1	1	1	1	0	0	0	0
521	0	1	0	0	0	1	0	0	0	1
522	1	0	1	0	0	1	0	0	0	1
523	0	0	0	0	0	1	0	0	0	0
524	1	1	0	0	1	1	0	1	0	1
525	0	1	0	0	0	1	0	0	1	0
526	0	0	0	0	0	0	0	0	1	0
527	1	1	1	1	0	1	0	0	1	1
528	0	0	0	1	0	1	0	0	1	1
529	1	1	1	0	0	1	0	1	0	1
530	0	0	0	0	0	0	0	1	1	1
531	0	0	0	0	1	1	0	1	0	0
532	0	0	0	0	0	1	0	0	1	1
533	0	0	0	0	0	1	0	0	1	0
534	1	0	0	1	0	1	0	0	0	1
535	1	0	1	0	0	1	0	0	1	0
536	0	0	0	0	0	0	0	0	1	0
537	0	1	0	0	1	1	0	0	1	1
538	0	0	0	0	0	1	0	0	0	1
539	1	0	0	1	1	1	0	1	1	1
540	0	0	0	1	0	0	0	1	1	1
541	0	0	0	0	0	1	0	0	1	0
542	0	0	0	0	0	0	0	0	1	0
543	0	1	0	0	0	0	0	0	1	0
544	0	0	0	1	1	1	0	0	0	1
545	0	0	1	0	0	1	0	0	1	0
546	0	1	1	0	0	1	0	0	1	0
547	1	0	1	0	1	1	0	0	1	1
548	0	0	0	0	0	0	0	0	1	0
549	0	0	0	0	0	0	0	0	1	0
550	0	0	0	0	0	0	0	0	1	0
551	0	0	0	0	0	0	0	0	1	0
552	0	1	0	0	0	1	0	0	1	1
553	0	0	0	0	0	0	0	0	1	0
554	0	0	0	0	0	1	0	0	0	0
555	1	1	1	1	0	1	0	0	1	0
556	0	0	0	0	1	0	0	0	1	1
557	0	0	0	0	0	0	0	0	1	0
558	0	0	0	0	0	0	0	0	1	0
559	0	0	0	0	0	0	0	0	1	0
560	1	1	1	0	1	1	0	1	0	1
561	0	0	1	0	0	1	0	0	0	0
562	1	0	0	0	0	1	0	1	1	0
563	1	1	0	0	0	0	0	0	1	1
564	0	1	0	0	0	1	0	1	0	1
