ID	MONEY	VISIT	CROSS	API
1	367900	15	3	14
2	64000	3	1	109
3	467400	10	8	12
4	61000	3	1	70
5	128000	4	2	45
6	353620	6	5	22
7	1416230	24	11	5
8	535970	14	5	5
9	112760	4	2	25
10	704540	33	10	6
11	1120170	43	8	7
12	132260	3	1	130
13	988320	63	8	6
14	125000	2	1	3
15	1021120	89	13	4
16	147600	8	3	40
17	40600	2	1	80
18	118980	3	3	41
19	277780	9	4	18
20	2296300	52	12	3
21	186900	2	2	14
22	248150	3	4	8
23	916470	22	10	8
24	2180870	76	21	4
25	196800	2	1	24
26	745150	20	7	8
27	1183670	34	12	10
28	279170	3	1	0
29	1454750	28	13	4
30	1901710	11	5	19
31	211420	11	3	49
32	271000	11	5	33
33	8757460	77	9	2
34	2613550	46	11	3
35	976980	35	9	8
36	144300	7	4	17
37	766790	16	6	10
38	83900	3	2	60
39	417710	11	9	18
40	155090	8	1	76
41	567060	11	5	15
42	265400	8	2	21
43	475510	12	5	19
44	297700	14	3	15
45	385080	8	5	20
46	56500	2	1	8
47	358160	15	3	22
48	469750	15	8	20
49	1012980	19	10	13
50	113080	3	4	36
51	185900	7	2	21
52	260120	14	6	20
53	1233130	40	11	6
54	2311460	84	17	3
55	874900	8	8	8
56	86200	4	2	76
57	32800	2	1	114
58	33000	2	1	17
59	121390	4	3	57
60	625800	26	10	14
61	62400	3	1	124
62	352300	13	2	37
63	4041850	90	22	2
64	8496680	113	20	1
65	443470	8	6	15
66	255850	7	4	26
67	467820	16	4	20
68	110990	4	3	22
69	1153310	38	11	6
70	30300	2	1	52
71	270500	6	4	38
72	340600	27	4	16
73	287520	12	4	16
74	598300	19	6	22
75	798550	26	11	8
76	123830	6	3	24
77	901730	18	5	6
78	4665330	110	21	1
79	354620	14	5	13
80	1690080	51	18	4
81	5278040	90	16	2
82	44400	4	1	90
83	218800	6	2	26
84	152410	5	1	11
85	1497840	20	7	12
86	72800	3	3	102
87	699250	15	8	9
88	225030	3	2	17
89	36500	2	1	215
90	429310	14	3	20
91	691120	20	11	11
92	151750	6	3	44
93	645960	27	7	10
94	530480	9	3	7
95	676010	26	8	13
96	2710820	30	18	3
97	1230710	37	10	5
98	673410	31	6	10
99	355580	12	6	6
100	326940	14	3	29
101	344000	15	7	18
102	1415010	25	8	7
103	244210	2	1	1
104	1250180	33	7	5
105	890024	28	7	9
106	509760	13	5	10
107	833070	24	12	11
108	610560	13	7	11
109	597710	7	8	13
110	409000	8	5	22
111	258810	7	4	13
112	883190	16	11	8
113	178070	3	3	54
114	3461080	62	18	2
115	117000	2	1	54
116	1151160	29	8	5
117	302500	7	4	25
118	63900	2	2	134
119	37900	2	1	132
120	483540	16	7	14
121	153200	3	1	5
122	73700	4	1	123
123	898470	30	15	6
124	164600	6	3	30
125	4489390	120	22	2
126	1323940	50	12	4
127	522060	27	8	10
128	152800	4	3	16
129	35840	6	3	66
130	806210	18	10	9
131	132300	3	1	42
132	137050	4	2	88
133	222900	16	5	34
134	943600	19	9	7
135	1165090	33	18	5
136	701540	14	7	8
137	75150	3	2	31
138	1022840	73	10	5
139	607950	10	3	11
140	219990	15	4	34
141	143400	7	2	12
142	1097810	22	8	7
143	1972980	56	17	4
144	1092320	6	11	7
145	666700	17	6	14
146	417120	11	5	17
147	975040	33	13	6
148	344980	6	5	27
149	407400	9	4	10
150	318180	2	2	31
151	137620	7	3	55
152	88900	3	2	110
153	248750	7	3	40
154	706900	22	4	16
155	103360	4	1	99
156	51870	4	1	111
157	212600	4	2	24
158	360570	7	3	63
159	1068980	32	15	4
160	528920	6	11	11
161	105400	8	2	75
162	175910	5	4	14
163	2480130	78	20	3
164	77300	2	1	19
165	131260	7	3	46
166	287420	4	6	1
167	586850	30	8	7
168	264890	18	3	26
169	183320	2	1	44
170	264810	6	3	53
171	110140	3	3	23
172	253300	10	3	8
173	304840	11	5	22
174	53400	2	1	30
175	201000	3	2	32
176	195150	7	4	22
177	375770	8	4	13
178	553160	18	6	18
179	57000	6	3	89
180	298020	11	3	28
181	673950	19	5	18
182	1266160	27	13	4
183	5444260	85	12	2
184	297790	12	5	38
185	224200	2	3	11
186	179150	5	3	25
187	561400	12	5	26
188	89180	9	2	19
189	4003870	65	15	2
190	47700	2	1	82
191	289260	7	5	22
192	231030	13	4	24
193	311600	2	1	120
194	386030	20	10	10
195	1170790	33	11	11
196	966440	14	10	5
197	229900	9	3	30
198	43000	2	1	19
199	635320	19	8	8
200	229460	5	6	28
201	179600	5	2	21
202	322110	10	4	19
203	170650	5	2	30
204	141020	6	2	36
205	153000	4	3	29
206	402870	13	7	13
207	562890	20	9	21
208	4901710	60	16	1
209	385180	8	7	15
210	228040	8	3	23
211	158410	4	2	47
212	170050	7	3	27
213	119100	6	3	69
214	1756380	42	12	6
215	210500	3	3	22
216	63000	5	1	29
217	515360	17	9	17
218	219800	4	4	30
219	51660	5	2	22
220	152800	4	3	74
221	59850	2	1	19
222	3542690	62	24	2
223	189300	7	2	14
224	96300	2	3	79
225	1045810	21	5	7
226	3347690	56	20	2
227	111000	2	1	28
228	77500	6	2	25
229	254810	7	5	24
230	2396680	18	11	7
231	34500	2	1	14
232	97800	6	2	67
233	219910	17	4	10
234	81070	2	1	27
235	273500	2	5	18
236	255170	11	5	32
237	83820	4	3	36
238	134600	3	1	29
239	1725360	16	6	9
240	195120	5	5	36
241	811070	12	9	9
242	1003430	17	10	9
243	198500	14	4	20
244	271550	8	4	28
245	211000	2	1	1
246	2066620	21	9	9
247	474500	11	6	11
248	336860	9	5	18
249	96000	3	3	47
250	164470	9	2	52
251	10200	2	1	7
252	111700	4	2	43
253	86000	4	1	81
254	85970	2	1	53
255	202360	10	6	29
256	48610	3	1	97
257	339920	9	2	29
258	1386130	25	9	5
259	480400	25	3	14
260	1219560	28	17	5
261	130000	4	2	97
262	58500	4	1	78
263	306900	9	5	20
264	77650	3	2	62
265	74200	2	1	8
266	323210	20	7	22
267	216340	5	3	23
268	31900	3	1	76
269	4247600	74	20	2
270	223140	5	5	35
271	369750	10	5	17
272	424270	18	6	18
273	453050	10	4	32
274	697600	10	6	8
275	689720	24	7	7
276	725880	19	15	8
277	668520	18	6	9
278	1237540	35	8	9
279	59850	2	1	119
280	362800	5	3	51
281	208730	10	6	28
282	111390	5	3	19
283	109470	7	3	81
284	154450	6	1	57
285	442310	17	9	12
286	462430	7	5	15
287	99000	5	2	49
288	246750	15	3	38
289	664860	24	9	7
290	444930	19	7	22
291	90100	5	2	7
292	264860	18	4	23
293	467030	18	8	17
294	1010350	33	12	13
295	1339820	49	13	5
296	417720	9	5	16
297	1134720	18	11	9
298	448740	23	7	4
299	789930	24	14	12
300	270610	6	3	20
301	95300	2	2	36
302	474200	11	6	20
303	319380	5	2	25
304	515410	17	7	16
305	180830	3	4	14
306	41400	5	1	79
307	1915740	35	13	3
308	30530	3	1	227
309	691880	10	7	13
310	151850	4	3	11
311	84770	4	2	84
312	133260	4	4	6
313	356300	13	4	9
314	178400	6	6	30
315	122580	3	4	8
316	181530	3	2	54
317	44700	3	1	186
318	638160	11	7	5
319	792990	31	7	8
320	57880	3	3	36
321	204050	6	2	6
322	655770	26	9	9
323	346700	9	4	27
324	312320	7	2	55
325	162000	4	3	52
326	500920	9	6	9
327	841620	44	11	7
328	225300	5	4	27
329	995230	31	12	7
330	1364050	45	11	6
331	594100	16	8	11
332	1016230	22	11	6
333	217750	6	4	35
334	127320	2	1	58
335	633280	16	6	12
336	542100	14	5	11
337	344990	13	6	30
338	103000	5	1	95
339	1672530	12	6	5
340	58400	3	2	42
341	28160	3	1	159
342	128600	5	5	49
343	1725780	38	13	3
344	1548800	44	9	6
345	531820	12	6	16
346	34000	3	1	169
347	516510	10	3	14
348	1769740	37	14	5
349	216500	10	2	37
350	46650	3	1	87
351	234040	7	2	20
352	1119820	23	3	18
353	258400	5	2	28
354	27540	6	4	44
355	831510	44	10	7
356	231820	7	5	30
357	339000	4	2	22
358	102910	8	4	32
359	147100	3	2	5
360	67800	3	1	16
361	78810	4	2	21
362	372950	8	3	19
363	126800	4	1	82
364	300680	4	6	23
365	74740	3	1	168
366	42500	2	1	7
367	184490	9	5	32
368	76000	2	1	26
369	438900	7	11	5
370	100300	5	1	113
371	85040	4	3	53
372	89900	2	2	50
373	264100	11	2	8
374	147470	3	1	18
375	55060	8	1	27
376	836640	37	13	7
377	217600	7	4	21
378	298380	8	5	8
379	1605550	59	15	5
380	37350	2	1	1
381	180750	9	2	63
382	327150	9	4	34
383	275840	12	7	13
384	169450	4	4	28
385	221730	9	3	35
386	619900	6	4	19
387	244260	9	4	36
388	113800	3	2	39
389	1316190	11	9	7
390	917850	15	7	10
391	66500	2	1	145
392	58900	2	2	7
393	169250	8	3	39
394	143020	8	2	57
395	104100	4	1	80
396	1634840	17	12	5
397	127800	2	1	55
398	279630	11	6	30
399	107800	6	1	95
400	44900	2	1	26
401	542380	10	5	35
402	2323430	38	15	2
403	220940	7	6	33
404	167500	5	2	44
405	432780	14	4	18
406	599600	17	7	16
407	919330	37	13	7
408	625830	11	6	16
409	89800	4	2	17
410	710490	22	6	15
411	201600	7	2	25
412	1781030	26	15	5
413	234740	7	3	30
414	1472340	49	13	4
415	388730	14	7	15
416	218400	7	3	22
417	403200	4	5	21
418	182480	5	4	31
419	106460	4	2	35
420	445780	11	5	22
421	43800	2	1	41
422	119730	5	4	33
423	234000	10	2	21
424	495790	9	6	13
425	430860	13	6	10
426	226590	9	4	30
427	146570	4	4	31
428	194600	2	6	39
429	1815610	40	12	4
430	343990	10	7	7
431	77900	2	2	24
432	157700	2	3	29
433	1149650	42	11	7
434	166430	7	3	61
435	487240	12	5	17
436	824040	28	5	11
437	469200	25	6	15
438	806990	29	11	6
439	70300	2	3	3
440	105170	5	2	91
441	102200	2	2	9
442	119800	4	4	26
443	1413510	39	10	4
444	477700	16	8	8
445	552200	16	5	11
446	1598930	24	17	4
447	52000	2	1	8
448	944840	16	7	11
449	1261400	42	15	4
450	127630	3	3	25
451	282320	10	4	24
452	110180	4	3	63
453	31880	3	1	2
454	285600	9	4	29
455	322600	12	3	20
456	802210	15	9	12
457	89400	4	1	173
458	84220	3	4	2
459	145250	6	4	36
460	254230	11	4	41
461	4459127	103	16	2
462	1845490	31	15	3
463	584400	8	2	47
464	25600	5	1	43
465	98920	2	3	10
466	345030	14	5	23
467	1527540	32	14	5
468	65300	3	1	105
469	130000	4	1	128
470	271460	13	8	22
471	86000	4	1	102
472	57950	2	1	7
473	568580	6	3	20
474	451450	7	4	28
475	126470	5	2	59
476	573890	17	7	13
477	514310	22	9	16
478	332220	16	5	28
479	240880	8	3	26
480	1368210	43	13	7
481	447720	12	9	15
482	457740	8	4	25
483	2380140	34	10	2
484	629900	10	6	18
485	541040	17	3	26
486	668400	11	3	37
487	4093760	38	15	3
488	143870	7	2	37
489	211770	8	3	48
490	159310	8	3	35
491	1921520	37	17	3
492	67150	3	2	25
493	94890	5	1	74
494	277560	6	4	29
495	565010	27	12	7
496	643150	16	6	14
497	241300	6	4	42
498	243130	17	5	25
499	153550	5	3	69
500	113680	2	3	8
501	54000	3	1	64
502	476690	25	5	20
503	266820	3	2	11
504	108920	6	3	48
505	165950	5	1	131
506	2585516	15	11	9
507	61800	2	1	76
508	764080	24	10	7
509	358800	7	2	41
510	328970	8	5	24
511	212910	6	5	23
512	138100	4	2	10
513	386860	13	7	23
514	238950	9	3	20
515	679830	9	6	18
516	61720	2	3	22
517	1707390	17	13	5
518	251810	7	5	18
519	39300	2	1	28
520	570820	19	13	12
521	731860	16	9	5
