"CUSTOMER_NBR","STATE","ZIP_CODE","SHOPPER_SEGMENT_CODE","city","latitude","longitude","timezone","cluster"
37,"NC",28147,3,"Salisbury",35.665362,-80.54673,"EST",4
176,"PA",15342,1,"Houston",40.241854,-80.21445,"EST",4
179,"ME",4401,2,"Bangor",44.81777,-68.78952,"EST",4
224,"MA",1452,4,"Hubbardston",42.477515,-71.99654,"EST",4
237,"RI",2886,4,"Warwick",41.705478,-71.45119,"EST",4
441,"NM",88253,4,"Lake Arthur",32.954421,-104.45187,"MST",4
686,"GA",30271,4,"Newnan",33.351401,-84.756109,"EST",4
816,"CA",93912,2,"Salinas",36.35433,-121.132928,"PST",4
861,"IA",51401,0,"Carroll",42.066399,-94.86786,"CST",4
874,"NY",14225,3,"Buffalo",42.929891,-78.75813,"EST",4
961,"TX",76088,5,"Weatherford",32.842085,-97.90477,"CST",4
968,"CA",90638,4,"La Mirada",33.90213,-118.00966,"PST",4
1089,"NV",89156,0,"Las Vegas",36.201612,-115.03358,"PST",4
1111,"PA",19055,4,"Levittown",40.149009,-74.83617,"EST",4
1183,"NY",10801,1,"New Rochelle",40.915845,-73.78643,"EST",4
1211,"NY",11758,4,"Massapequa",40.68085,-73.46289,"EST",4
1222,"CA",91344,4,"Granada Hills",34.277648,-118.50047,"PST",4
1275,"IN",47302,5,"Muncie",40.164393,-85.38114,"EST",4
1533,"WI",53189,4,"Waukesha",42.967394,-88.264,"CST",4
1591,"ME",4493,4,"West Enfield",45.247401,-68.51819,"EST",4
1629,"CT",6032,5,"Farmington",41.725195,-72.83032,"EST",4
1682,"CA",92405,4,"San Bernardino",34.141659,-117.29722,"PST",4
1683,"CA",94903,4,"San Rafael",38.019022,-122.54589,"PST",4
1726,"PA",18013,3,"Bangor",40.863124,-75.19004,"EST",4
1752,"TX",76033,1,"Cleburne",32.350907,-97.410254,"CST",4
1834,"TX",79936,0,"El Paso",31.766355,-106.29828,"CST",4
1855,"IL",60617,2,"Chicago",41.719973,-87.5557,"CST",4
1868,"DE",19802,1,"Wilmington",39.756213,-75.53312,"EST",4
1888,"VA",23222,0,"Richmond",37.573595,-77.42504,"EST",4
1895,"OH",45424,4,"Dayton",39.840308,-84.12227,"EST",4
1908,"MI",48116,4,"Brighton",42.509476,-83.77718,"EST",4
2002,"PA",16105,4,"New Castle",41.038205,-80.34539,"EST",4
2069,"NJ",8755,4,"Toms River",40.010092,-74.23032,"EST",4
2185,"WI",54452,2,"Merrill",45.181311,-89.70469,"CST",4
2293,"TX",76502,1,"Temple",31.086483,-97.40076,"CST",4
2297,"ME",4330,4,"Augusta",44.344406,-69.76345,"EST",4
2390,"NY",11563,4,"Lynbrook",40.656974,-73.67306,"EST",4
2485,"OH",43221,4,"Columbus",40.02063,-83.07655,"EST",4
2523,"FL",33511,1,"Brandon",27.911201,-82.2948,"EST",4
2559,"PA",18705,5,"Wilkes Barre",41.268231,-75.84569,"EST",4
2576,"OH",44301,2,"Akron",41.043955,-81.51919,"EST",4
2619,"IN",47805,5,"Terre Haute",39.535285,-87.35222,"EST",4
2676,"AL",35242,4,"Birmingham",33.409582,-86.69684,"CST",4
2722,"MD",20774,4,"Upper Marlboro",38.892456,-76.80685,"EST",4
2729,"TX",77064,1,"Houston",29.923638,-95.55919,"CST",4
2766,"FL",33813,4,"Lakeland",27.965469,-81.92215,"EST",4
2798,"PA",18901,4,"Doylestown",40.317473,-75.12854,"EST",4
2846,"MD",21220,4,"Middle River",39.337798,-76.41533,"EST",4
2862,"NC",27606,0,"Raleigh",35.758268,-78.71783,"EST",4
2903,"NY",12828,1,"Fort Edward",43.253125,-73.58549,"EST",4
2922,"CA",92886,4,"Yorba Linda",33.888062,-117.80407,"PST",4
2941,"NC",28092,4,"Lincolnton",35.473447,-81.24094,"EST",4
3024,"NJ",7801,0,"Dover",40.889166,-74.55462,"EST",4
3029,"NC",28328,4,"Clinton",35.000056,-78.33424,"EST",4
3057,"FL",33905,2,"Fort Myers",26.680407,-81.74812,"EST",4
3064,"FL",32776,4,"Sorrento",28.804039,-81.53689,"EST",4
