"city","state","timezone"
"Avon","CT","EST"
"Baltic","CT","EST"
"Beacon Falls","CT","EST"
"Bridgeport","CT","EST"
"Canterbury","CT","EST"
"Chaplin","CT","EST"
"Cromwell","CT","EST"
"Danbury","CT","EST"
"Deep River","CT","EST"
"East Granby","CT","EST"
"East Hartford","CT","EST"
"East Haven","CT","EST"
"East Lyme","CT","EST"
"Glastonbury","CT","EST"
"Greenwich","CT","EST"
"Hartford","CT","EST"
"Kensington","CT","EST"
"Kent","CT","EST"
"Killingly","CT","EST"
"Killingworth","CT","EST"
"Litchfield","CT","EST"
"Lyme","CT","EST"
"Mystic","CT","EST"
"New Britain","CT","EST"
"New Canaan","CT","EST"
"New Fairfield","CT","EST"
"New Hartford","CT","EST"
"New Haven","CT","EST"
"New London","CT","EST"
"New Milford","CT","EST"
"Newtown","CT","EST"
"Norwalk","CT","EST"
"Norwich","CT","EST"
"Old Lyme","CT","EST"
"Old Saybrook","CT","EST"
"Pine Orchard","CT","EST"
"Pleasure Beach","CT","EST"
"Putman","CT","EST"
"Quaker Hill","CT","EST"
"Redding","CT","EST"
"Redding Ridge","CT","EST"
"Sandy Hook","CT","EST"
"Short Beach","CT","EST"
"Stamford","CT","EST"
"Terryville","CT","EST"
"Trumbull","CT","EST"
"Waterbury","CT","EST"
"Waterford","CT","EST"
"West Hartford","CT","EST"
"Westport","CT","EST"
"Woodbury","CT","EST"
"Woodmont","CT","EST"
"Yalesville","CT","EST"
"Arden","DE","EST"
"Ardencroft","DE","EST"
"Ardentown","DE","EST"
"Bear","DE","EST"
"Bellefonte","DE","EST"
"Bethany Beach","DE","EST"
"Bethel","DE","EST"
"Blackbird","DE","EST"
"Blades","DE","EST"
"Bowers Beach","DE","EST"
"Bridgeville","DE","EST"
"Brookside","DE","EST"
"Camden","DE","EST"
"Canterbury","DE","EST"
"Capitol Park","DE","EST"
"Centerville","DE","EST"
"Cheswold","DE","EST"
"Christina","DE","EST"
"Clarksville","DE","EST"
"Claymont","DE","EST"
"Clayton","DE","EST"
"Collins Park","DE","EST"
"Dagsboro","DE","EST"
"Delaware City","DE","EST"
"Delmar","DE","EST"
"Dewey Beach","DE","EST"
"Dover","DE","EST"
"Dunleith","DE","EST"
"Edgemoor","DE","EST"
"Ellendale","DE","EST"
"Elsmere","DE","EST"
"Fairfax","DE","EST"
"Felton","DE","EST"
"Fenwick Island","DE","EST"
"Frankford","DE","EST"
"Frederica","DE","EST"
"Georgetown","DE","EST"
"Glasgow","DE","EST"
"Greenville","DE","EST"
