date,h_price,h_rate
2015-03-25,45500 ,
2015-03-26,45900 ,0.879 
2015-03-27,45000 ,-1.961 
2015-03-30,45600 ,1.333 
2015-03-31,46000 ,0.877 
2015-04-01,45950 ,-0.109 
2015-04-02,46300 ,0.762 
2015-04-03,46650 ,0.756 
2015-04-06,45750 ,-1.929 
2015-04-07,45350 ,-0.874 
2015-04-08,43700 ,-3.638 
2015-04-09,43100 ,-1.373 
2015-04-10,43650 ,1.276 
2015-04-13,43300 ,-0.802 
2015-04-14,43900 ,1.386 
2015-04-15,43800 ,-0.228 
2015-04-16,46000 ,5.023 
2015-04-17,47550 ,3.370 
2015-04-20,46250 ,-2.734 
2015-04-21,46050 ,-0.432 
2015-04-22,45500 ,-1.194 
2015-04-23,45800 ,0.659 
2015-04-24,46850 ,2.293 
2015-04-27,47000 ,0.320 
2015-04-28,47950 ,2.021 
2015-04-29,47700 ,-0.521 
2015-04-30,46850 ,-1.782 
2015-05-04,47950 ,2.348 
2015-05-06,46550 ,-2.920 
2015-05-07,46250 ,-0.644 
2015-05-08,45800 ,-0.973 
2015-05-11,46800 ,2.183 
2015-05-12,47100 ,0.641 
2015-05-13,47200 ,0.212 
2015-05-14,46800 ,-0.847 
2015-05-15,46800 ,0.000 
2015-05-18,46700 ,-0.214 
2015-05-19,46100 ,-1.285 
2015-05-20,47900 ,3.905 
2015-05-21,47450 ,-0.939 
2015-05-22,48500 ,2.213 
2015-05-26,47000 ,-3.093 
2015-05-27,45750 ,-2.660 
2015-05-28,45700 ,-0.109 
2015-05-29,46200 ,1.094 
2015-06-01,45500 ,-1.515 
2015-06-02,45850 ,0.769 
2015-06-03,45300 ,-1.200 
2015-06-04,44500 ,-1.766 
2015-06-05,44800 ,0.674 
2015-06-08,44800 ,0.000 
2015-06-09,44700 ,-0.223 
2015-06-10,43700 ,-2.237 
2015-06-11,43850 ,0.343 
2015-06-12,43500 ,-0.798 
2015-06-15,43800 ,0.690 
2015-06-16,43000 ,-1.826 
2015-06-17,42700 ,-0.698 
2015-06-18,42450 ,-0.585 
2015-06-19,44100 ,3.887 
2015-06-22,46200 ,4.762 
2015-06-23,46050 ,-0.325 
2015-06-24,45450 ,-1.303 
2015-06-25,45100 ,-0.770 
2015-06-26,45200 ,0.222 
2015-06-29,44800 ,-0.885 
2015-06-30,45800 ,2.232 
2015-07-01,46350 ,1.201 
2015-07-02,46600 ,0.539 
2015-07-03,46900 ,0.644 
2015-07-06,47000 ,0.213 
2015-07-07,46550 ,-0.957 
2015-07-08,47250 ,1.504 
2015-07-09,48050 ,1.693 
2015-07-10,47400 ,-1.353 
2015-07-13,48000 ,1.266 
2015-07-14,49000 ,2.083 
2015-07-15,49050 ,0.102 
2015-07-16,48900 ,-0.306 
2015-07-17,49050 ,0.307 
2015-07-20,49900 ,1.733 
2015-07-21,50400 ,1.002 
2015-07-22,48650 ,-3.472 
2015-07-23,49750 ,2.261 
2015-07-24,48150 ,-3.216 
2015-07-27,47650 ,-1.038 
2015-07-28,48200 ,1.154 
2015-07-29,48500 ,0.622 
2015-07-30,48600 ,0.206 
2015-07-31,50900 ,4.733 
2015-08-03,52200 ,2.554 
2015-08-04,51700 ,-0.958 
2015-08-05,51600 ,-0.193 
2015-08-06,51100 ,-0.969 
2015-08-07,51000 ,-0.196 
2015-08-10,51300 ,0.588 
2015-08-11,50300 ,-1.949 
2015-08-12,49800 ,-0.994 
2015-08-13,49600 ,-0.402 
2015-08-17,50500 ,1.815 
2015-08-18,50800 ,0.594 
2015-08-19,50600 ,-0.394 
2015-08-20,51700 ,2.174 
2015-08-21,49500 ,-4.255 
2015-08-24,47700 ,-3.636 
2015-08-25,47500 ,-0.419 
2015-08-26,49150 ,3.474 
2015-08-27,49500 ,0.712 
2015-08-28,49200 ,-0.606 
2015-08-31,48000 ,-2.439 
2015-09-01,48500 ,1.042 
2015-09-02,47650 ,-1.753 
2015-09-03,47500 ,-0.315 
2015-09-04,46750 ,-1.579 
2015-09-07,47300 ,1.176 
2015-09-08,46300 ,-2.114 
2015-09-09,47650 ,2.916 
2015-09-10,49250 ,3.358 
2015-09-11,48050 ,-2.437 
2015-09-14,48650 ,1.249 
2015-09-15,48650 ,0.000 
2015-09-16,48700 ,0.103 
2015-09-17,47650 ,-2.156 
2015-09-18,47500 ,-0.315 
2015-09-21,47400 ,-0.211 
2015-09-22,49700 ,4.852 
2015-09-23,48300 ,-2.817 
2015-09-24,48800 ,1.035 
2015-09-25,49050 ,0.512 
2015-09-30,49000 ,-0.102 
2015-10-01,49000 ,0.000 
2015-10-02,48250 ,-1.531 
2015-10-05,48950 ,1.451 
2015-10-06,49200 ,0.511 
2015-10-07,48350 ,-1.728 
2015-10-08,48350 ,0.000 
2015-10-12,48250 ,-0.207 
2015-10-13,48300 ,0.104 
2015-10-14,49950 ,3.416 
2015-10-15,50600 ,1.301 
2015-10-16,51400 ,1.581 
2015-10-19,51800 ,0.778 
2015-10-20,52300 ,0.965 
2015-10-21,52500 ,0.382 
2015-10-22,52500 ,0.000 
2015-10-23,51800 ,-1.333 
2015-10-26,53000 ,2.317 
2015-10-27,53300 ,0.566 
2015-10-28,52500 ,-1.501 
2015-10-29,51600 ,-1.714 
2015-10-30,51400 ,-0.388 
2015-11-02,50700 ,-1.362 
2015-11-03,52000 ,2.564 
2015-11-04,53000 ,1.923 
2015-11-05,52500 ,-0.943 
2015-11-06,52700 ,0.381 
2015-11-09,52700 ,0.000 
2015-11-10,50500 ,-4.175 
2015-11-11,50700 ,0.396 
2015-11-12,49600 ,-2.170 
2015-11-13,49200 ,-0.806 
2015-11-16,49800 ,1.220 
2015-11-17,50000 ,0.402 
2015-11-18,50800 ,1.600 
2015-11-19,50600 ,-0.394 
2015-11-20,50400 ,-0.395 
2015-11-23,50100 ,-0.595 
2015-11-24,49600 ,-0.998 
2015-11-25,49100 ,-1.008 
2015-11-26,49350 ,0.509 
2015-11-27,49750 ,0.811 
2015-11-30,48950 ,-1.608 
2015-12-01,49750 ,1.634 
2015-12-02,48750 ,-2.010 
2015-12-03,48950 ,0.410 
2015-12-04,47950 ,-2.043 
2015-12-07,47500 ,-0.938 
2015-12-08,48400 ,1.895 
2015-12-09,49650 ,2.583 
2015-12-10,48650 ,-2.014 
2015-12-11,48600 ,-0.103 
2015-12-14,49450 ,1.749 
2015-12-15,48700 ,-1.517 
2015-12-16,48850 ,0.308 
2015-12-17,49850 ,2.047 
2015-12-18,49700 ,-0.301 
2015-12-21,49500 ,-0.402 
2015-12-22,49950 ,0.909 
2015-12-23,50300 ,0.701 
2015-12-24,50300 ,0.000 
2015-12-28,49400 ,-1.789 
2015-12-29,49650 ,0.506 
2015-12-30,50000 ,0.705 
2016-01-04,50000 ,0.000 
2016-01-05,50700 ,1.400 
2016-01-06,50800 ,0.197 
2016-01-07,50300 ,-0.984 
2016-01-08,49900 ,-0.795 
2016-01-11,50700 ,1.603 
2016-01-12,50500 ,-0.394 
2016-01-13,52000 ,2.970 
2016-01-14,52000 ,0.000 
2016-01-15,51000 ,-1.923 
2016-01-18,50600 ,-0.784 
2016-01-19,51600 ,1.976 
2016-01-20,51500 ,-0.194 
2016-01-21,50500 ,-1.942 
2016-01-22,49800 ,-1.386 
2016-01-25,50600 ,1.606 
2016-01-26,51600 ,1.976 
2016-01-27,51700 ,0.194 
2016-01-28,52700 ,1.934 
2016-01-29,52600 ,-0.190 
2016-02-01,53200 ,1.141 
2016-02-02,53300 ,0.188 
2016-02-03,53000 ,-0.563 
2016-02-04,53800 ,1.509 
2016-02-05,52300 ,-2.788 
2016-02-11,52200 ,-0.191 
2016-02-12,52900 ,1.341 
2016-02-15,52600 ,-0.567 
2016-02-16,53300 ,1.331 
2016-02-17,54400 ,2.064 
2016-02-18,54500 ,0.184 
2016-02-19,55800 ,2.385 
2016-02-22,55500 ,-0.538 
2016-02-23,55400 ,-0.180 
2016-02-24,56600 ,2.166 
2016-02-25,59500 ,5.124 
2016-02-26,60600 ,1.849 
2016-02-29,58700 ,-3.135 
2016-03-02,60000 ,2.215 
2016-03-03,58500 ,-2.500 
2016-03-04,58400 ,-0.171 
2016-03-07,56800 ,-2.740 
2016-03-08,55900 ,-1.585 
2016-03-09,57400 ,2.683 
2016-03-10,58000 ,1.045 
2016-03-11,58200 ,0.345 
2016-03-14,58800 ,1.031 
2016-03-15,58600 ,-0.340 
2016-03-16,59800 ,2.048 
2016-03-17,59300 ,-0.836 
2016-03-18,59600 ,0.506 
2016-03-21,60100 ,0.839 
2016-03-22,59200 ,-1.498 
2016-03-23,58900 ,-0.507 
2016-03-24,59300 ,0.679 
2016-03-25,59300 ,0.000 
