date,c_food,s_food
2016-05-20,3610 ,140500 
2016-05-19,3630 ,139000 
2016-05-18,3730 ,147000 
2016-05-17,3795 ,149500 
2016-05-16,3710 ,147500 
2016-05-13,3520 ,146000 
2016-05-12,3525 ,147000 
2016-05-11,3525 ,152500 
2016-05-10,3470 ,148000 
2016-05-09,3415 ,147000 
2016-05-04,3410 ,145000 
2016-05-03,3450 ,144500 
2016-05-02,3400 ,139500 
2016-04-29,3445 ,139000 
2016-04-28,3475 ,132500 
2016-04-27,3530 ,130000 
2016-04-26,3570 ,128500 
2016-04-25,3615 ,125500 
2016-04-22,3650 ,122500 
2016-04-21,3630 ,122000 
2016-04-20,3620 ,121500 
2016-04-19,3585 ,126000 
2016-04-18,3565 ,126000 
2016-04-15,3540 ,121500 
2016-04-14,3585 ,120000 
2016-04-12,3610 ,123000 
2016-04-11,3570 ,121500 
2016-04-08,3580 ,126500 
2016-04-07,3540 ,128500 
2016-04-06,3510 ,130500 
2016-04-05,3440 ,128500 
2016-04-04,3480 ,128000 
2016-04-01,3555 ,129500 
2016-03-31,3555 ,130000 
2016-03-30,3540 ,131500 
2016-03-29,3615 ,133000 
2016-03-28,3625 ,134000 
2016-03-25,3675 ,134000 
2016-03-24,3625 ,134000 
2016-03-23,3600 ,133500 
2016-03-22,3685 ,137500 
2016-03-21,3670 ,137500 
2016-03-18,3610 ,140500 
2016-03-17,3560 ,140500 
2016-03-16,3515 ,141500 
2016-03-15,3510 ,145000 
2016-03-14,3515 ,145500 
2016-03-11,3525 ,146000 
2016-03-10,3540 ,141500 
2016-03-09,3540 ,138500 
2016-03-08,3530 ,135500 
2016-03-07,3580 ,138000 
2016-03-04,3580 ,138000 
2016-03-03,3530 ,139500 
2016-03-02,3505 ,138500 
2016-02-29,3470 ,137500 
2016-02-26,3415 ,137500 
2016-02-25,3375 ,139000 
2016-02-24,3410 ,137000 
2016-02-23,3385 ,136500 
2016-02-22,3400 ,137500 
2016-02-19,3380 ,139000 
2016-02-18,3305 ,141000 
2016-02-17,3245 ,139000 
2016-02-16,3285 ,143000 
2016-02-15,3205 ,141500 
2016-02-12,3150 ,148000 
2016-02-11,3365 ,148000 
2016-02-05,3545 ,159000 
2016-02-04,3620 ,165500 
2016-02-03,3640 ,164000 
2016-02-02,3695 ,156000 
2016-02-01,3680 ,159000 
2016-01-29,3710 ,161500 
2016-01-28,3690 ,158000 
2016-01-27,3670 ,151000 
2016-01-26,3635 ,150000 
2016-01-25,3650 ,151000 
2016-01-22,3500 ,150000 
2016-01-21,3485 ,147500 
2016-01-20,3375 ,132500 
2016-01-19,3580 ,132500 
2016-01-18,3620 ,144500 
2016-01-15,3615 ,149500 
2016-01-14,3570 ,147000 
2016-01-13,3540 ,153000 
2016-01-12,3585 ,152500 
2016-01-11,3625 ,158000 
2016-01-08,3620 ,161000 
2016-01-07,3640 ,163500 
2016-01-06,3585 ,167000 
2016-01-05,3540 ,161000 
2016-01-04,3465 ,166000 
2015-12-30,3490 ,173000 
2015-12-29,3385 ,173000 
2015-12-28,3290 ,169000 
2015-12-24,3360 ,170500 
2015-12-23,3375 ,169000 
2015-12-22,3390 ,168000 
2015-12-21,3480 ,165500 
2015-12-18,3465 ,159000 
2015-12-17,3415 ,150000 
2015-12-16,3295 ,148000 
2015-12-15,3240 ,149000 
2015-12-14,3240 ,150000 
2015-12-11,3390 ,161000 
2015-12-10,3415 ,157500 
2015-12-09,3380 ,163500 
2015-12-08,3415 ,160000 
2015-12-07,3495 ,166500 
2015-12-04,3530 ,171000 
2015-12-03,3585 ,172000 
2015-12-02,3670 ,172000 
2015-12-01,3690 ,168500 
2015-11-30,3700 ,163000 
2015-11-27,3730 ,169500 
2015-11-26,3690 ,170000 
2015-11-25,3680 ,170000 
2015-11-24,3650 ,164000 
2015-11-23,3615 ,166000 
2015-11-20,3630 ,162500 
2015-11-19,3570 ,161000 
2015-11-18,3535 ,159000 
2015-11-17,3520 ,171000 
2015-11-16,3310 ,176500 
2015-11-13,3475 ,178500 
2015-11-12,3550 ,182500 
2015-11-11,3570 ,183000 
2015-11-10,3490 ,183500 
2015-11-09,3490 ,182000 
2015-11-06,3720 ,182000 
2015-11-05,3800 ,180500 
2015-11-04,3735 ,176500 
2015-11-03,3770 ,173000 
2015-11-02,3720 ,173000 
2015-10-30,3655 ,172000 
2015-10-29,3825 ,175000 
2015-10-28,3855 ,182000 
2015-10-27,3935 ,181000 
2015-10-26,3865 ,184500 
2015-10-23,3845 ,184500 
2015-10-22,3965 ,186500 
2015-10-21,4285 ,187500 
2015-10-20,4385 ,193000 
2015-10-19,4380 ,186000 
2015-10-16,4585 ,180000 
2015-10-15,4595 ,178500 
2015-10-14,4595 ,174500 
2015-10-13,4750 ,176000 
2015-10-12,4530 ,177000 
2015-10-08,4585 ,187000 
2015-10-07,4620 ,199000 
2015-10-06,4740 ,206500 
2015-10-05,4665 ,205500 
2015-10-02,4580 ,203000 
2015-10-01,4740 ,204000 
2015-09-30,4795 ,200000 
2015-09-25,4795 ,200000 
2015-09-24,4590 ,207000 
2015-09-23,4415 ,206500 
2015-09-22,4650 ,214000 
2015-09-21,4610 ,217000 
2015-09-18,4300 ,222000 
2015-09-17,4200 ,216000 
2015-09-16,4325 ,219500 
2015-09-15,4320 ,220500 
2015-09-14,4235 ,212500 
2015-09-11,4315 ,217500 
2015-09-10,4180 ,215000 
2015-09-09,4145 ,215500 
2015-09-08,4060 ,201500 
2015-09-07,4140 ,212000 
2015-09-04,4115 ,215000 
2015-09-03,4305 ,228500 
2015-09-02,4390 ,238500 
2015-09-01,4140 ,227500 
2015-08-31,4280 ,233500 
2015-08-28,4350 ,240500 
2015-08-27,4300 ,231000 
2015-08-26,4330 ,223500 
2015-08-25,4310 ,203000 
2015-08-24,3910 ,202000 
2015-08-21,3900 ,207000 
2015-08-20,4140 ,219000 
2015-08-19,4200 ,216000 
2015-08-18,4535 ,219000 
2015-08-17,4755 ,226000 
2015-08-13,4975 ,226000 
2015-08-12,4850 ,220000 
2015-08-11,5110 ,234000 
2015-08-10,5390 ,244000 
2015-08-07,5010 ,221000 
2015-08-06,4730 ,224000 
2015-08-05,4865 ,212500 
2015-08-04,4835 ,215500 
2015-08-03,4895 ,217000 
2015-07-31,4690 ,204000 
2015-07-30,4515 ,205000 
2015-07-29,4500 ,202500 
2015-07-28,4800 ,205000 
2015-07-27,5000 ,203000 
2015-07-24,5400 ,209500 
2015-07-23,5240 ,213500 
2015-07-22,5240 ,212000 
2015-07-21,5220 ,215500 
2015-07-20,5020 ,221500 
2015-07-17,3865 ,220000 
2015-07-16,3950 ,223500 
2015-07-15,3750 ,215000 
2015-07-14,3620 ,194000 
2015-07-13,3390 ,188500 
2015-07-10,3250 ,181000 
2015-07-09,3265 ,179000 
2015-07-08,3315 ,180500 
2015-07-07,3295 ,186000 
2015-07-06,3100 ,178000 
2015-07-03,3205 ,183500 
2015-07-02,3230 ,180000 
2015-07-01,3175 ,183000 
2015-06-30,3205 ,184000 
2015-06-29,3180 ,187000 
2015-06-26,3350 ,194000 
2015-06-25,3490 ,192000 
2015-06-24,3450 ,193000 
2015-06-23,3470 ,197500 
2015-06-22,3325 ,194500 
2015-06-19,3380 ,191000 
