°í°´¹øÈ£,Ãß¾îÅÁ,°¥ºñÅÁ,±èÄ¡ººÀ½¹ä,»À´Ù±ÍÇØÀå±¹,ºÏ¾îÇØÀå±¹,¼ø´ë±¹,ÂÞ²Ù¹ÌººÀ½,±èÄ¡Âî°³,½Ó¹äÁ¤½Ä,»ï°èÅÁ
1,1,0,0,1,0,1,0,0,0,1
2,0,0,1,0,0,0,0,0,0,-1
3,0,0,0,0,1,0,0,0,0,1
4,1,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,1
7,0,0,0,1,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0
9,1,0,0,1,0,1,0,0,0,1
10,0,1,-1,0,0,0,1,0,0,0
11,1,0,1,0,0,0,0,0,0,1
12,0,1,0,0,0,0,0,0,0,0
13,0,0,0,0,1,1,0,0,-1,1
14,0,0,0,0,0,1,0,1,0,1
15,1,0,0,-1,0,0,0,1,0,0
16,0,0,0,0,1,0,0,0,1,1
17,1,0,0,1,0,1,0,0,0,0
18,1,1,0,0,0,0,-1,0,0,0
19,0,1,0,0,0,0,-1,0,0,1
20,1,0,0,1,0,1,0,0,0,0
21,1,0,-1,0,0,0,0,0,0,-1
22,-1,0,0,0,0,0,0,0,1,0
23,1,0,0,1,0,1,0,0,0,0
24,1,1,0,0,0,0,0,0,0,1
25,0,0,0,1,0,1,0,0,0,0
26,1,1,0,0,0,0,0,0,0,0
27,0,0,0,1,1,0,0,0,-1,1
28,0,1,0,0,0,1,0,0,0,0
29,1,0,0,0,1,0,0,0,0,0
30,-1,0,0,0,0,0,0,1,1,1
31,0,0,0,0,0,1,0,0,0,-1
32,0,0,1,0,0,0,0,0,1,0
33,0,1,0,0,1,0,0,0,0,1
34,1,0,0,0,0,0,0,1,0,0
35,0,0,0,0,1,0,0,1,0,1
36,0,0,-1,0,1,1,0,0,0,1
37,0,1,0,0,0,0,0,0,-1,0
38,0,1,0,0,0,1,0,-1,0,0
39,-1,0,1,0,0,0,0,1,0,1
40,0,-1,1,0,1,0,1,1,0,0
