date,close
2016-05-25,1961 
2016-05-24,1938 
2016-05-23,1955 
2016-05-20,1948 
2016-05-19,1947 
2016-05-18,1957 
2016-05-17,1968 
2016-05-16,1968 
2016-05-13,1967 
2016-05-12,1977 
2016-05-11,1980 
2016-05-10,1983 
2016-05-09,1968 
2016-05-04,1977 
2016-05-03,1986 
2016-05-02,1978 
2016-04-29,1994 
2016-04-28,2001 
2016-04-27,2015 
2016-04-26,2020 
2016-04-25,2015 
2016-04-22,2015 
2016-04-21,2022 
2016-04-20,2006 
2016-04-19,2011 
2016-04-18,2009 
2016-04-15,2015 
2016-04-14,2016 
2016-04-12,1981 
2016-04-11,1970 
2016-04-08,1972 
2016-04-07,1974 
2016-04-06,1971 
2016-04-05,1963 
2016-04-04,1979 
2016-04-01,1974 
2016-03-31,1996 
2016-03-30,2002 
2016-03-29,1995 
2016-03-28,1983 
2016-03-25,1984 
2016-03-24,1986 
2016-03-23,1995 
2016-03-22,1997 
2016-03-21,1990 
2016-03-18,1992 
2016-03-17,1988 
2016-03-16,1975 
2016-03-15,1970 
2016-03-14,1972 
2016-03-11,1971 
2016-03-10,1969 
2016-03-09,1953 
2016-03-08,1946 
2016-03-07,1958 
2016-03-04,1956 
2016-03-03,1958 
2016-03-02,1947 
2016-02-29,1917 
2016-02-26,1920 
2016-02-25,1919 
2016-02-24,1913 
2016-02-23,1914 
2016-02-22,1916 
2016-02-19,1916 
2016-02-18,1909 
2016-02-17,1884 
2016-02-16,1888 
2016-02-15,1862 
2016-02-12,1835 
2016-02-11,1862 
2016-02-05,1918 
2016-02-04,1916 
2016-02-03,1891 
2016-02-02,1907 
2016-02-01,1925 
2016-01-29,1912 
2016-01-28,1907 
2016-01-27,1898 
2016-01-26,1872 
2016-01-25,1893 
2016-01-22,1879 
2016-01-21,1841 
2016-01-20,1845 
2016-01-19,1890 
2016-01-18,1878 
2016-01-15,1879 
2016-01-14,1900 
2016-01-13,1916 
2016-01-12,1891 
2016-01-11,1895 
2016-01-08,1918 
2016-01-07,1904 
2016-01-06,1925 
2016-01-05,1931 
2016-01-04,1919 
2015-12-30,1961 
2015-12-29,1966 
2015-12-28,1964 
2015-12-24,1991 
2015-12-23,1999 
2015-12-22,1993 
2015-12-21,1981 
2015-12-18,1975 
2015-12-17,1978 
2015-12-16,1969 
2015-12-15,1933 
2015-12-14,1928 
2015-12-11,1949 
2015-12-10,1952 
2015-12-09,1948 
2015-12-08,1949 
2015-12-07,1964 
2015-12-04,1974 
2015-12-03,1994 
2015-12-02,2009 
2015-12-01,2024 
2015-11-30,1992 
2015-11-27,2029 
2015-11-26,2031 
2015-11-25,2009 
2015-11-24,2016 
2015-11-23,2004 
2015-11-20,1990 
2015-11-19,1989 
2015-11-18,1963 
2015-11-17,1964 
2015-11-16,1943 
2015-11-13,1973 
2015-11-12,1993 
2015-11-11,1997 
2015-11-10,1997 
2015-11-09,2026 
2015-11-06,2041 
2015-11-05,2049 
2015-11-04,2053 
2015-11-03,2048 
2015-11-02,2035 
2015-10-30,2029 
2015-10-29,2034 
2015-10-28,2043 
2015-10-27,2045 
2015-10-26,2048 
2015-10-23,2040 
2015-10-22,2023 
2015-10-21,2043 
2015-10-20,2039 
2015-10-19,2030 
2015-10-16,2030 
2015-10-15,2033 
2015-10-14,2010 
2015-10-13,2019 
2015-10-12,2022 
2015-10-08,2020 
2015-10-07,2006 
2015-10-06,1991 
2015-10-05,1978 
2015-10-02,1970 
2015-10-01,1979 
2015-09-30,1963 
2015-09-25,1943 
2015-09-24,1947 
2015-09-23,1945 
2015-09-22,1982 
2015-09-21,1965 
2015-09-18,1996 
2015-09-17,1976 
2015-09-16,1975 
2015-09-15,1938 
2015-09-14,1931 
2015-09-11,1941 
2015-09-10,1962 
2015-09-09,1934 
2015-09-08,1879 
2015-09-07,1883 
2015-09-04,1886 
2015-09-03,1916 
2015-09-02,1915 
2015-09-01,1914 
2015-08-31,1941 
2015-08-28,1938 
2015-08-27,1908 
2015-08-26,1894 
2015-08-25,1847 
2015-08-24,1830 
2015-08-21,1876 
2015-08-20,1915 
2015-08-19,1939 
2015-08-18,1956 
2015-08-17,1969 
2015-08-13,1983 
2015-08-12,1975 
2015-08-11,1987 
2015-08-10,2003 
2015-08-07,2010 
2015-08-06,2013 
2015-08-05,2030 
2015-08-04,2028 
2015-08-03,2008 
2015-07-31,2030 
2015-07-30,2019 
2015-07-29,2038 
2015-07-28,2039 
2015-07-27,2039 
2015-07-24,2046 
2015-07-23,2065 
2015-07-22,2065 
2015-07-21,2084 
2015-07-20,2073 
2015-07-17,2077 
2015-07-16,2088 
2015-07-15,2073 
2015-07-14,2059 
2015-07-13,2062 
2015-07-10,2031 
2015-07-09,2028 
2015-07-08,2016 
2015-07-07,2040 
2015-07-06,2054 
2015-07-03,2104 
2015-07-02,2107 
2015-07-01,2098 
2015-06-30,2074 
2015-06-29,2060 
2015-06-26,2090 
2015-06-25,2085 
2015-06-24,2086 
2015-06-23,2081 
2015-06-22,2055 
2015-06-19,2047 
2015-06-18,2042 
2015-06-17,2035 
2015-06-16,2029 
2015-06-15,2042 
2015-06-12,2052 
2015-06-11,2057 
2015-06-10,2051 
2015-06-09,2064 
2015-06-08,2065 
2015-06-05,2068 
2015-06-04,2073 
2015-06-03,2063 
2015-06-02,2079 
2015-06-01,2102 
2015-05-29,2115 
2015-05-28,2111 
2015-05-27,2108 
2015-05-26,2144 
