고객번호,성별,나이,직장여부,결혼여부,차량보유여부,쿠폰반응여부
1,남,30대,NO,YES,NO,NO
2,여,20대,YES,YES,YES,NO
3,여,20대,YES,YES,NO,NO
4,여,40대,NO,NO,NO,NO
5,여,30대,NO,YES,NO,NO
6,여,30대,NO,NO,YES,NO
7,여,20대,NO,YES,NO,NO
8,여,20대,NO,YES,YES,YES
9,여,30대,YES,YES,NO,YES
10,남,40대,YES,NO,YES,NO
11,남,20대,NO,NO,NO,NO
12,남,30대,NO,YES,YES,NO
13,남,20대,YES,NO,NO,NO
14,여,30대,YES,YES,NO,YES
15,남,30대,YES,YES,YES,YES
16,여,30대,YES,NO,NO,NO
17,여,30대,NO,YES,YES,YES
18,남,20대,YES,YES,NO,NO
19,남,40대,YES,NO,YES,NO
20,여,40대,YES,YES,NO,YES
21,여,20대,NO,YES,YES,YES
22,남,30대,NO,NO,NO,NO
23,여,30대,YES,YES,NO,YES
24,남,30대,YES,NO,YES,NO
25,여,40대,NO,YES,YES,YES
26,남,30대,NO,YES,NO,NO
27,여,30대,YES,YES,YES,YES
28,여,40대,YES,NO,YES,NO
29,남,40대,YES,YES,NO,YES
30,여,40대,YES,YES,NO,YES
