date,kospi,k_rate
2015-03-25,2042.81 ,
2015-03-26,2022.56 ,-0.991 
2015-03-27,2019.80 ,-0.136 
2015-03-30,2030.04 ,0.507 
2015-03-31,2041.03 ,0.541 
2015-04-01,2028.45 ,-0.616 
2015-04-02,2029.07 ,0.031 
2015-04-03,2045.42 ,0.806 
2015-04-06,2046.43 ,0.049 
2015-04-07,2047.03 ,0.029 
2015-04-08,2059.26 ,0.597 
2015-04-09,2058.87 ,-0.019 
2015-04-10,2087.76 ,1.403 
2015-04-13,2098.92 ,0.535 
2015-04-14,2111.72 ,0.610 
2015-04-15,2119.96 ,0.390 
2015-04-16,2139.90 ,0.941 
2015-04-17,2143.50 ,0.168 
2015-04-20,2146.71 ,0.150 
2015-04-21,2144.79 ,-0.089 
2015-04-22,2143.89 ,-0.042 
2015-04-23,2173.41 ,1.377 
2015-04-24,2159.80 ,-0.626 
2015-04-27,2157.54 ,-0.105 
2015-04-28,2147.67 ,-0.457 
2015-04-29,2142.63 ,-0.235 
2015-04-30,2127.17 ,-0.722 
2015-05-04,2132.23 ,0.238 
2015-05-06,2104.58 ,-1.297 
2015-05-07,2091.00 ,-0.645 
2015-05-08,2085.52 ,-0.262 
2015-05-11,2097.38 ,0.569 
2015-05-12,2096.77 ,-0.029 
2015-05-13,2114.16 ,0.829 
2015-05-14,2120.33 ,0.292 
2015-05-15,2106.50 ,-0.652 
2015-05-18,2113.72 ,0.343 
2015-05-19,2120.85 ,0.337 
2015-05-20,2139.54 ,0.881 
2015-05-21,2122.81 ,-0.782 
2015-05-22,2146.10 ,1.097 
2015-05-26,2143.50 ,-0.121 
2015-05-27,2107.50 ,-1.679 
2015-05-28,2110.89 ,0.161 
2015-05-29,2114.80 ,0.185 
2015-06-01,2102.37 ,-0.588 
2015-06-02,2078.64 ,-1.129 
2015-06-03,2063.16 ,-0.745 
2015-06-04,2072.86 ,0.470 
2015-06-05,2068.10 ,-0.230 
2015-06-08,2065.19 ,-0.141 
2015-06-09,2064.03 ,-0.056 
2015-06-10,2051.32 ,-0.616 
2015-06-11,2056.61 ,0.258 
2015-06-12,2052.17 ,-0.216 
2015-06-15,2042.32 ,-0.480 
2015-06-16,2028.72 ,-0.666 
2015-06-17,2034.86 ,0.303 
2015-06-18,2041.88 ,0.345 
2015-06-19,2046.96 ,0.249 
2015-06-22,2055.16 ,0.401 
2015-06-23,2081.20 ,1.267 
