YYWW,주마지막일자,대형마트수량,대형마트금액,백화점수량,백화점금액,수퍼수량,수퍼금액,편의점수량,편의점금액
1301,20130106,27916,233968900,11971,99796735,1795,11561690,1603,2264200
1302,20130113,23057,194593960,11678,103106940,1832,11493710,2149,3073450
1303,20130120,25153,216322950,11634,106922870,1783,11541050,2277,3368720
1304,20130127,24645,218053670,12102,95765955,1949,11773330,2169,3172410
1305,20130203,26603,236095130,11404,102729615,1988,12808900,2085,3147500
1306,20130210,25509,245607800,11689,117911615,1829,12558230,2185,3178160
1307,20130217,28076,245099800,10843,95507750,1833,11567980,2036,3011190
1308,20130224,25093,225126089,12854,125884675,1897,12113780,2034,2990200
1309,20130303,31867,282861151,11998,110363185,2195,13427656,2141,3083510
1310,20130310,25671,233165182,12203,131731230,2054,13420230,1867,2692580
1311,20130317,27768,261794200,11015,101943110,2068,13059560,2060,2918450
1312,20130324,25683,244543265,12616,122021770,2080,13791720,2081,2971200
1313,20130331,28797,275991892,11956,98725430,2003,13181860,2004,2879750
1314,20130407,34492,376866569,13766,134480240,2230,15043580,2016,2856714
1315,20130414,29282,308178683,13645,144886455,2436,15967020,2020,2847800
1316,20130421,29980,295346932,13299,135066540,2362,16310820,2019,2846100
1317,20130428,27373,270663778,11321,109389990,2507,16457760,2165,3057850
1318,20130505,33432,334573034,11636,106491980,2572,16724380,1995,2838300
1319,20130512,27131,266008539,12519,122462290,2454,16465422,2103,2948750
1320,20130519,33737,322924467,12802,111937220,2681,17339044,2198,3214350
1321,20130526,27944,280749940,13038,126008300,2768,18747260,2014,2897300
1322,20130602,32285,328150320,11953,116789075,2748,18103265,2126,3070240
1323,20130609,33040,318117670,13754,146313240,2857,18580670,2111,2993600
1324,20130616,35336,348555593,14276,136337420,2783,18090430,2048,2897950
1325,20130623,32444,322741638,13816,145942375,2893,18896450,2116,3046390
1326,20130630,36001,363526076,14018,140981655,2957,19947520,2125,3052500
1327,20130707,38815,460132829,14375,149854925,2820,18772855,2205,3225550
1328,20130714,36759,403477618,15448,162046740,3138,21232230,2209,3193900
1329,20130721,42407,421191023,15040,170138390,3391,22812950,2249,3229350
1330,20130728,42772,444336522,16809,181363150,3726,25498525,2395,3387905
1331,20130804,60109,611120693,13946,137264750,4508,30609370,2452,3783150
1332,20130811,50355,491988565,15703,166723425,3930,27088420,2264,3357250
1333,20130818,57355,576879399,17952,196469575,4663,33460930,2251,3330800
1334,20130825,45016,451780855,16400,177848155,4044,28146630,2143,3180240
1335,20130901,47175,493810948,16811,179609580,3887,26872540,2189,3213890
1336,20130908,38416,400355360,17232,196149175,3655,25483860,2378,3425650
1337,20130915,46986,536984490,17471,203241735,3532,24979770,2426,3459150
1338,20130922,45012,513178444,15365,171822005,3924,28511820,2509,3753940
1339,20130929,37655,393851740,14679,155210195,3121,21283900,2304,3196790
1340,20131006,41138,415667403,15845,167105810,3358,22909920,2349,3368700
1341,20131013,37275,383629910,16390,173331390,3583,25869960,2246,3195050
1342,20131020,38427,394892110,15329,162226845,3460,23327732,2457,3470350
1343,20131027,35844,384641780,13766,135161110,3188,21380940,2304,3302430
1344,20131103,38929,409855885,14601,154092120,3053,21191290,2236,3090940
1345,20131110,31563,315414020,16058,175526930,2963,20360740,2292,3165400
1346,20131117,31739,315441515,12642,121015550,2619,18341490,2097,2855180
1347,20131124,24643,230627110,12307,117633110,2127,14439000,1982,2704380
1348,20131201,22781,213267835,10467,96192160,1913,11770554,2041,2801360
1349,20131208,17361,158015130,9432,78799290,1125,7235605,1917,2594140
1350,20131215,20023,183897038,9320,70176750,1466,8350410,1956,2676160
1351,20131222,18629,172698215,9924,78391538,1405,7979621,1977,2745580
1352,20131229,24489,200023690,10257,79293110,1529,9133250,1983,2753450
1401,20140105,24968,205482178,10784,89715020,1631,9963810,1941,2723750
1402,20140112,20712,169055830,10581,87366600,1623,9853100,1948,2731970
1403,20140119,24353,204434790,11304,98488500,1664,9815375,1885,2636660
1404,20140126,21501,183947520,11350,97426490,1705,10112650,1874,2577190
1405,20140202,24091,219931785,9612,89936490,1585,10095790,1783,2537100
1406,20140209,21415,182426004,11876,94690280,1537,9409320,1777,2377950
1407,20140216,26001,219797055,12116,98906190,1671,10523770,1782,2489600
1408,20140223,24012,209805421,12196,112014640,1850,12317686,1915,2654790
1409,20140302,28243,251365898,10693,98504740,1906,11632320,1727,2421130
1410,20140309,22968,205567431,12420,114973755,1718,11178620,1667,2324510
1411,20140316,27139,245792184,11516,103489910,1862,12132200,1706,2405110
1412,20140323,23344,210575984,13136,121018535,1822,11577550,1811,2501260
1413,20140330,26395,240818859,11822,101549680,1959,12198380,1765,2479510
1414,20140406,28535,267709005,9917,108084130,1930,12060440,1766,2395730
1415,20140413,25292,235536486,10915,114009996,2100,12648940,1734,2432680
1416,20140420,29093,262189196,11089,119443660,2063,13016660,1760,2476250
1417,20140427,25329,227021211,10294,100781050,2022,12447310,1760,2470780
1418,20140504,37960,347367550,11444,111740495,2537,15738935,1844,2683745
1419,20140511,27525,265298040,10878,114776280,2268,13430820,1732,2483640
1420,20140518,31585,290500290,10732,104749500,2265,14405800,1823,2552380
1421,20140525,25867,238226677,11314,125386245,2137,12905475,1708,2440960
1422,20140601,30858,289272984,10118,103471925,2271,13750790,1778,2476780
1423,20140608,35091,309263038,11712,129269190,2508,15117850,2051,2930790
1424,20140615,35538,328001580,10771,124613355,2583,16825062,1964,2751630
1425,20140622,30673,282870378,12562,141678320,2483,15260630,1886,2592160
1426,20140629,36789,347826680,12213,134919140,2570,16111710,1784,2480190
1427,20140706,34785,333502360,12268,138811275,2633,15539595,1784,2463370
1428,20140713,32843,330164038,12883,147984015,2640,16764340,1753,2454580
1429,20140720,39583,395551830,12832,149617935,2958,18441500,1744,2468230
1430,20140727,36447,370130144,13570,161592520,3020,18425440,1887,2691470
1431,20140803,51003,523340419,11804,125731975,3523,22406680,1968,2895950
1432,20140810,44115,436831190,13692,159449275,3451,22609730,2023,2926810
1433,20140817,50980,510600495,14513,184103270,4011,25509550,1984,2920450
1434,20140824,38264,393266009,13957,156022740,3273,21147450,1816,2520570
1435,20140831,42305,439553935,14141,167332750,3132,20615680,1985,2780800
1436,20140907,45151,518499739,17267,223356705,3359,23828170,1891,2676250
1437,20140914,31294,307668389,9852,112031595,2888,17952770,2085,2959960
1438,20140921,35295,364289270,11931,138159140,2856,19489400,1840,2539790
1439,20140928,31164,317869860,12656,140565020,2758,18525410,1939,2716510
1440,20141005,41723,430896454,13148,151295720,3110,20246340,1924,2760730
1441,20141012,33449,343567740,13533,160017370,3799,23550150,1880,2734130
1442,20141019,37746,393415749,12848,158431883,3317,21572146,1788,2539620
1443,20141026,32262,324341013,11637,136459335,2709,17603260,1953,2785035
1444,20141102,37676,384499746,12299,139209175,2714,18655560,1758,2501980
1445,20141109,31076,316430785,12006,139702685,4286,25258720,1790,2541310
1446,20141116,34431,345971760,11067,116641285,2587,17162380,1706,2410950
1447,20141123,24626,234731790,10836,115211610,2233,13312250,1633,2391510
1448,20141130,24289,231677695,9015,94565760,1939,12363060,1540,2165910
1449,20141207,22153,210720238,7984,85692780,1663,9897400,1469,2050560
1450,20141214,18924,172209110,8029,74263260,1414,8029950,1455,1990200
1451,20141221,22341,199802792,9041,79078180,1488,7937960,1503,2040690
1452,20141228,21327,176554480,8585,78806110,1432,7820140,1402,1960240
1501,20150104,27627,234646920,8467,78685435,1654,9185570,1760,2526580
1502,20150111,20277,174709806,8499,80255145,1363,7208010,1666,2388230
1503,20150118,23445,204802475,7967,81097100,1559,8850380,1572,2225730
1504,20150125,21363,183146815,8198,72644170,1509,8335520,1681,2393790
1505,20150201,25384,227949158,9153,85218420,1656,9448220,1664,2355270
1506,20150208,21894,193638610,9228,87755420,1511,8309010,1553,2214680
1507,20150215,27334,247823129,10205,108122980,1647,9439700,1627,2273710
1508,20150222,25391,236125515,8973,92946085,1798,10439830,1723,2456640
1509,20150301,27519,254225914,8628,88316090,1746,10154820,1782,2492680
1510,20150308,22301,207144352,9187,95824255,1672,9583070,1637,2276560
1511,20150315,27747,259409068,9143,95599325,1899,10616824,1636,2317560
1512,20150322,23178,216323720,10148,107749150,1857,10971340,1647,2323780
1513,20150329,27172,254597540,9791,96054759,1944,10998020,1790,2469620
1514,20150405,27225,261400340,9893,104123930,1949,11057870,1760,2484255
1515,20150412,24724,234883145,10903,114671660,2016,11124040,1788,2541005
1516,20150419,30763,288224357,11426,124443425,2120,12531020,1851,2627800
1517,20150426,26332,248571666,9806,101012305,2222,12979130,1794,2540610
1518,20150503,35121,315731185,10862,116525670,2577,14971145,1930,2798550
1519,20150510,27721,249600975,11458,137544350,2243,13636490,1657,2346270
1520,20150517,33394,311229985,10365,108341590,2428,15189480,1820,2657700
1521,20150524,31480,285968747,10642,116859845,2528,15507070,1949,2730480
1522,20150531,35534,336898685,10659,114576925,2385,14410410,1784,2417410
