순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,유한준,넥센,0.364,101,436,376,82,137,35,1,19,231,84,0,6,55,97,95,1.02,7,1,4,0.25,88.4,0.351
2,박병호,넥센,0.349,106,476,410,100,143,29,1,42,300,111,0,3,72,70,74,0.95,10,0.42,4.07,0.383,113.3,0.378
3,홍성갑,넥센,0.333,7,10,9,0,3,0,0,0,3,2,0,0,0,2,0,-,0,0.25,4.7,0,1.3,0.263
4,고종욱,넥센,0.324,85,328,299,59,97,22,3,8,149,40,3,1,33,73,67,1.09,6,0.3,3.89,0.174,47.9,0.293
5,유재신,넥센,0.318,44,26,22,17,7,2,0,0,9,3,2,0,2,6,2,3,0,0.29,4.08,0.091,4.2,0.271
6,김민성,넥센,0.316,96,405,370,53,117,21,0,14,180,65,0,3,35,95,105,0.9,2,0.45,3.98,0.17,61.1,0.287
7,이택근,넥센,0.311,68,253,219,40,68,10,0,8,102,21,1,2,18,60,57,1.05,1,0.78,4.19,0.155,38.2,0.293
8,윤석민,넥센,0.3,99,389,333,52,100,22,1,13,163,67,5,6,36,96,84,1.14,5,0.63,3.85,0.189,59.2,0.292
9,스나이더,넥센,0.295,79,339,295,62,87,21,1,17,161,53,3,3,39,39,75,0.52,1,0.31,4.14,0.251,58.8,0.304
10,김하성,넥센,0.287,103,436,383,68,110,28,4,14,188,57,3,4,46,80,106,0.75,3,0.46,4.22,0.204,66.8,0.285
11,강지광,넥센,0.278,13,21,18,3,5,0,0,0,5,2,0,0,0,1,3,0.33,0,0.22,3.52,0,2.3,0.241
12,박동원,넥센,0.273,90,322,278,35,76,8,1,12,122,47,8,4,21,78,61,1.28,11,0.36,3.69,0.165,44.1,0.265
13,김재현,넥센,0.273,41,49,44,6,12,2,0,1,17,3,2,0,3,9,12,0.75,0,0.18,3.69,0.114,5.5,0.24
14,김지수,넥센,0.26,79,121,104,19,27,4,0,0,31,11,6,1,4,36,26,1.38,0,0.56,3.59,0.038,10.6,0.219
15,서건창,넥센,0.253,47,193,166,20,42,12,2,1,61,18,6,1,15,70,45,1.56,1,2,3.51,0.114,20.4,0.241
16,문우람,넥센,0.252,48,121,107,21,27,9,0,2,42,21,1,3,11,27,30,0.9,1,0.31,4.01,0.14,14,0.237
17,송성문,넥센,0.25,7,12,12,0,3,0,0,0,3,1,0,0,0,4,2,2,0,0,2.83,0,0.7,0.175
18,박헌도,넥센,0.247,81,213,178,28,44,11,0,7,76,31,1,2,18,46,44,1.05,4,0.61,4.26,0.18,28.1,0.268
19,유선정,넥센,0.24,17,27,25,1,6,0,0,0,6,2,0,0,0,6,8,0.75,0,0.4,3.78,0,1.6,0.193
20,서동욱,넥센,0.169,40,83,71,9,12,3,0,2,21,5,1,0,5,14,10,1.4,1,0.29,4.58,0.127,6.4,0.2
21,임병욱,넥센,0.16,25,30,25,7,4,1,0,1,8,2,0,0,2,1,6,0.17,0,0.36,4.17,0.16,1.9,0.215
22,김민준,넥센,0,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,-,0,-,7,0,0.3,0.225
22,마정길,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
22,문성현,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
1,고영민,두산,0.383,28,52,47,8,18,1,0,2,25,10,0,1,3,6,11,0.55,1,0.31,3.71,0.149,8.9,0.323
2,양의지,두산,0.344,94,371,320,55,110,20,0,17,181,70,1,5,37,56,113,0.5,9,0.57,3.77,0.222,70.8,0.33
3,민병헌,두산,0.331,92,402,350,64,116,17,1,11,168,57,4,5,29,91,92,0.99,3,0.66,3.84,0.149,64.9,0.3
4,박건우,두산,0.329,45,91,79,16,26,5,0,4,43,14,2,0,9,17,23,0.74,2,0.62,3.48,0.215,16,0.318
5,김재호,두산,0.326,97,361,304,52,99,20,3,2,131,38,11,5,25,72,109,0.66,4,1.31,3.88,0.105,52.2,0.288
6,허경민,두산,0.321,76,264,240,38,77,14,2,1,98,23,5,2,17,81,63,1.29,1,0.62,3.61,0.088,33.3,0.265
7,김현수,두산,0.318,100,449,380,68,121,21,0,15,187,79,0,5,36,107,112,0.96,10,1.31,3.51,0.174,74,0.308
8,오재일,두산,0.29,35,107,93,19,27,4,1,8,57,19,0,0,13,21,19,1.11,2,0.5,3.77,0.323,19.9,0.326
9,오재원,두산,0.286,92,366,322,45,92,16,2,11,145,52,5,3,29,89,78,1.14,5,0.48,4.14,0.165,51.6,0.271
10,정수빈,두산,0.279,87,392,337,53,94,19,4,0,121,43,11,6,23,126,80,1.58,3,0.7,3.74,0.08,43.6,0.245
11,로메로,두산,0.267,53,232,202,23,54,12,0,10,96,43,0,7,22,42,71,0.59,4,0.46,3.76,0.208,34.4,0.268
12,홍성흔,두산,0.252,65,258,218,28,55,7,0,3,71,28,4,0,10,65,57,1.14,3,0.8,4.01,0.073,27.1,0.243
13,최주환,두산,0.245,67,178,155,24,38,8,0,2,52,14,3,0,10,52,46,1.13,1,1,4,0.09,16.3,0.233
14,정진호,두산,0.241,63,158,141,34,34,5,3,4,57,18,3,0,12,51,38,1.34,3,0.78,3.49,0.163,19,0.241
15,유민상,두산,0.24,10,30,25,4,6,0,0,1,9,6,0,1,1,7,8,0.88,2,0.6,3.97,0.12,3.7,0.24
16,김재환,두산,0.235,48,180,153,24,36,8,0,7,65,22,1,2,15,44,36,1.22,2,0.56,3.86,0.19,22.5,0.257
17,장민석,두산,0.212,26,41,33,10,7,0,0,0,7,3,1,1,0,11,6,1.83,0,0.5,3.9,0,3.2,0.199
18,국해성,두산,0.211,10,25,19,6,4,1,0,1,8,5,1,2,2,6,6,1,0,0.4,3.52,0.211,2.8,0.237
19,최재훈,두산,0.186,51,77,70,5,13,2,0,0,15,7,1,1,2,23,23,1,0,0.08,3.62,0.029,2.3,0.16
20,김진형,두산,0.167,14,21,18,3,3,2,0,1,8,2,0,0,3,4,4,1,0,0.43,3.9,0.278,2.1,0.24
21,양종민,두산,0.143,26,16,14,6,2,0,0,1,5,2,0,0,1,1,7,0.14,0,0.5,3.63,0.214,1.2,0.202
22,루츠,두산,0.111,8,30,27,2,3,0,0,1,6,3,0,1,1,10,9,1.11,0,0.33,3.83,0.111,0.9,0.131
23,노경은,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
23,류지혁,두산,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,6,0,-0.1,0
23,양현,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
23,함덕주,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
1,강민호,롯데,0.313,92,359,294,52,92,13,1,29,194,73,0,0,43,62,59,1.05,7,0.67,4.26,0.347,75.7,0.362
2,손아섭,롯데,0.31,79,336,284,50,88,17,0,9,132,33,0,3,26,84,43,1.95,5,0.67,4.22,0.155,54.9,0.3
3,아두치,롯데,0.309,96,431,376,79,116,26,4,21,213,78,1,4,51,103,74,1.39,6,0.49,4.05,0.258,79.9,0.315
4,황재균,롯데,0.3,107,449,407,76,122,32,2,23,227,74,3,6,57,84,114,0.74,5,0.33,3.72,0.258,72.1,0.296
5,최준석,롯데,0.299,107,461,378,54,113,12,1,20,187,72,1,1,33,98,65,1.51,5,0.78,4.51,0.196,75.9,0.314
6,김문호,롯데,0.284,71,243,215,26,61,11,0,1,75,20,2,2,12,72,46,1.57,1,0.53,3.78,0.065,26.2,0.246
7,정훈,롯데,0.281,101,420,359,56,101,17,1,6,138,45,4,2,24,97,87,1.11,1,0.54,4.05,0.103,52.3,0.265
8,이우민,롯데,0.281,43,105,89,15,25,2,0,4,39,12,7,0,6,28,12,2.33,0,0.25,3.83,0.157,14.1,0.266
9,안중열,롯데,0.275,57,86,80,11,22,5,0,1,30,8,2,0,6,26,15,1.73,1,0.24,3.3,0.1,8,0.233
10,김주현,롯데,0.271,28,52,48,4,13,3,0,1,19,9,1,0,4,14,7,2,2,0.21,3.88,0.125,5,0.24
11,박종윤,롯데,0.271,70,265,255,25,69,9,3,4,96,26,1,1,16,91,70,1.3,5,0.19,3.44,0.106,24.2,0.225
12,오윤석,롯데,0.269,23,29,26,5,7,1,0,0,8,1,1,0,1,6,5,1.2,0,0.25,3.97,0.038,1.9,0.221
