Time,Sex,Population,age0to4,age5to9,age10to14,age15to19,age20to24,age25to29,age30to34,age35to39,age40to44,age45to49,age50to54,age55to59,age60to64,age65to69,age70to74,age75to79,age80to84,age85to89,age90to94,age95to99,age100to104,age105to109
1960,Male,12550691,2383544,1733443,1358903,1248858,1171363,960543,738376,682686,570525,485198,408634,289392,230431,141661,80707,45335,,,,,,
1960,Female,12461683,2207268,1617090,1287335,1169586,1151342,972537,817952,687439,554509,494732,436622,339582,288034,204014,129687,65864,,,,,,
1961,Male,12936583,2452879,1864580,1402613,1240278,1188724,1017695,765035,676712,584734,496049,418520,292521,239434,141887,84914,47111,,,,,,
1961,Female,12829090,2276565,1736162,1332220,1145417,1175745,1010896,844596,701573,568659,505185,443509,338083,296408,202677,139524,69374,,,,,,
1962,Male,13320983,2500793,1983775,1448949,1255899,1204229,1065655,793285,679243,603816,504656,432218,298221,241992,148284,86420,49893,,,,,,
1962,Female,13192047,2323482,1846082,1369542,1150735,1192695,1051348,874853,713916,588586,513639,454209,342370,296126,212423,140591,76638,,,,,,
1963,Male,13708120,2516739,2125558,1492698,1290756,1204791,1107810,836659,680161,627309,510900,439228,316997,237584,158662,85583,51682,,,,,,
1963,Female,13553627,2338441,1975048,1401890,1189724,1187173,1090826,900861,730953,617814,517548,459774,360342,287995,227507,137508,83105,,,,,,
1964,Male,14081950,2487244,2260781,1579817,1309266,1217465,1134420,882373,698422,642039,522679,436407,341962,237198,160834,91624,53175,,,,,,
1964,Female,13902205,2310458,2097314,1480024,1229662,1174094,1114300,927427,762919,643495,519811,460922,384049,284472,229700,143992,90222,,,,,,
1965,Male,14452831,2441718,2360217,1714064,1336648,1224348,1145871,935819,714200,652785,535956,443633,358167,236043,174264,96350,55662,,,,,,
1965,Female,14251843,2269201,2189802,1602738,1271430,1151445,1132998,961857,789027,666120,531137,465379,398644,294344,229683,148942,96288,,,,,,
1966,Male,14829861,2419344,2428011,1845446,1380929,1216523,1163475,992511,741232,648791,551738,456513,370877,242419,184531,101220,57915,,,,,,
1966,Female,14605710,2243390,2258024,1721844,1316598,1128542,1155506,1001834,817072,679581,546425,477328,407861,297123,241305,158980,99349,,,,,,
1967,Male,15205393,2402855,2477814,1963670,1428209,1233220,1182153,1042065,771926,653268,572071,466761,382888,248040,188260,106623,56172,,,,,,
1967,Female,14925590,2219142,2305798,1830214,1354475,1134440,1170449,1038291,852822,691904,567781,488305,419782,304716,246217,150465,94426,,,,,,
1968,Male,15576098,2378659,2493776,2105819,1471923,1268677,1185423,1086199,817300,656236,598864,472555,391433,263762,185683,114381,53518,,,,,,
1968,Female,15262204,2202652,2319092,1959385,1386459,1173580,1164303,1071601,884874,709845,599069,491684,429795,322400,242646,153739,91603,,,,,,
1969,Male,15940965,2363493,2460340,2245241,1556114,1288141,1199511,1115419,864561,676632,614673,482998,395092,287157,186153,117573,54878,,,,,,
1969,Female,15603301,2198556,2285579,2085023,1460520,1214175,1151340,1091533,912899,744040,624409,495429,435448,347400,242669,161327,90138,,,,,,
1970,Male,16308607,2362393,2400902,2349947,1688217,1314867,1207106,1129990,920441,695800,623917,504235,403184,299491,178840,139249,56261,,,,,,
1970,Female,15932220,2185784,2228980,2181361,1581139,1254177,1128863,1107757,946541,771329,647637,512915,443264,359282,249885,172559,93589,,,,,,
1971,Male,16648884,2412538,2351739,2396532,1809311,1349350,1193169,1148290,971765,718462,626273,514448,416503,312145,196448,136981,60229,,,,,,
1971,Female,16233820,2207043,2173132,2223105,1690605,1291625,1104590,1120701,976799,800106,662659,526610,457981,372700,270583,184812,102268,,,,,,
1972,Male,16955438,2447126,2317049,2451025,1926265,1397225,1194881,1166998,1020101,743874,622886,528379,413697,313400,188800,130081,58837,,,,,,
