"","Provinces","City","Population","Households","PersInHou","Male","Female","SexRatio"
"2","서울특별시","종로구 ",155695,72882,2.14,76962,78733,0.98
"3","서울특별시","중구 ",126817,59614,2.13,63292,63525,1
"4","서울특별시","용산구 ",235186,108138,2.17,114119,121067,0.94
"5","서울특별시","성동구 ",298145,126915,2.35,148265,149880,0.99
"6","서울특별시","광진구 ",362197,158769,2.28,177946,184251,0.97
"7","서울특별시","동대문구 ",362604,160110,2.26,181825,180779,1.01
"8","서울특별시","중랑구 ",417976,177077,2.36,208657,209319,1
"9","서울특별시","성북구 ",464176,192670,2.41,227676,236500,0.96
"10","서울특별시","강북구 ",333523,141325,2.36,164304,169219,0.97
"11","서울특별시","도봉구 ",353284,137260,2.57,174075,179209,0.97
"12","서울특별시","노원구 ",579324,220403,2.63,282601,296723,0.95
"13","서울특별시","은평구 ",499399,203159,2.46,244160,255239,0.96
"14","서울특별시","서대문구 ",307843,134004,2.3,149921,157922,0.95
"15","서울특별시","마포구 ",389937,171691,2.27,187989,201948,0.93
"16","서울특별시","양천구 ",485800,179315,2.71,240817,244983,0.98
"17","서울특별시","강서구 ",588559,236939,2.48,287809,300750,0.96
"18","서울특별시","구로구 ",425288,172797,2.46,212482,212806,1
"19","서울특별시","금천구 ",238367,104331,2.28,121752,116615,1.04
"20","서울특별시","영등포구 ",381647,168314,2.27,190907,190740,1
"21","서울특별시","동작구 ",406536,172464,2.36,199601,206935,0.96
"22","서울특별시","관악구 ",512921,249481,2.06,259364,253557,1.02
"23","서울특별시","서초구 ",447076,172770,2.59,215100,231976,0.93
"24","서울특별시","강남구 ",575912,237198,2.43,276091,299821,0.92
"25","서울특별시","송파구 ",664804,257528,2.58,324817,339987,0.96
"26","서울특별시","강동구 ",465834,182324,2.55,232242,233592,0.99
"28","부산광역시","중구 ",46519,23454,1.98,22832,23687,0.96
"29","부산광역시","서구 ",117028,53304,2.2,57586,59442,0.97
"30","부산광역시","동구 ",93456,43726,2.14,46344,47112,0.98
"31","부산광역시","영도구 ",130825,56561,2.31,64962,65863,0.99
"32","부산광역시","부산진구 ",386303,165875,2.33,189294,197009,0.96
"33","부산광역시","동래구 ",273857,106707,2.57,134691,139166,0.97
"34","부산광역시","남구 ",286051,114877,2.49,140911,145140,0.97
"35","부산광역시","북구 ",306292,116467,2.63,152450,153842,0.99
"36","부산광역시","해운대구 ",423428,163386,2.59,206284,217144,0.95
"37","부산광역시","사하구 ",340788,134892,2.53,170367,170421,1
"38","부산광역시","금정구 ",248177,101090,2.46,122166,126011,0.97
"39","부산광역시","강서구 ",86771,35770,2.43,45035,41736,1.08
"40","부산광역시","연제구 ",207314,83206,2.49,101973,105341,0.97
"41","부산광역시","수영구 ",179815,75581,2.38,86287,93528,0.92
"42","부산광역시","사상구 ",240772,96928,2.48,122522,118250,1.04
"43","부산광역시","기장군 ",150095,58617,2.56,74271,75824,0.98
"45","대구광역시","중구 ",80793,38102,2.12,39418,41375,0.95
"46","대구광역시","동구 ",349742,143591,2.44,174444,175298,1
"47","대구광역시","서구 ",207902,89987,2.31,105281,102621,1.03
"48","대구광역시","남구 ",162168,75003,2.16,79030,83138,0.95
"49","대구광역시","북구 ",443447,168793,2.63,221957,221490,1
"50","대구광역시","수성구 ",452147,164989,2.74,221112,231035,0.96
"51","대구광역시","달서구 ",606232,225780,2.69,301555,304677,0.99
"52","대구광역시","달성군 ",188706,71469,2.64,96478,92228,1.05
"54","인천광역시","중구 ",114125,50950,2.24,59086,55039,1.07
"55","인천광역시","동구 ",73495,30640,2.4,37047,36448,1.02
"56","인천광역시","남구 ",406990,171796,2.37,205669,201321,1.02
"57","인천광역시","연수구 ",311316,112832,2.76,155495,155821,1
"58","인천광역시","남동구 ",523673,204594,2.56,261270,262403,1
"59","인천광역시","부평구 ",557762,217046,2.57,277892,279870,0.99
"60","인천광역시","계양구 ",337721,127772,2.64,169288,168433,1.01
"61","인천광역시","서구 ",500981,187991,2.66,253068,247913,1.02
"62","인천광역시","강화군 ",67383,30439,2.21,33790,33593,1.01
"63","인천광역시","옹진군 ",20825,11172,1.86,11715,9110,1.29
"65","광주광역시","동구 ",100554,46364,2.17,50175,50379,1
"66","광주광역시","서구 ",308346,120061,2.57,151674,156672,0.97
"67","광주광역시","남구 ",220613,86777,2.54,106873,113740,0.94
"68","광주광역시","북구 ",448490,178223,2.52,222943,225547,0.99
"69","광주광역시","광산구 ",398971,146516,2.72,200143,198828,1.01
"71","대전광역시","동구 ",242758,101201,2.4,122809,119949,1.02
"72","대전광역시","중구 ",258365,103329,2.5,128543,129822,0.99
"73","대전광역시","서구 ",494953,189193,2.62,243875,251078,0.97
"74","대전광역시","유성구 ",330231,124114,2.66,166648,163583,1.02
"75","대전광역시","대덕구 ",199349,77379,2.58,101387,97962,1.03
"77","울산광역시","중구 ",241745,94073,2.57,123617,118128,1.05
"78","울산광역시","남구 ",345481,133430,2.59,176338,169143,1.04
"79","울산광역시","동구 ",174903,67895,2.58,92772,82131,1.13
"80","울산광역시","북구 ",190203,66723,2.85,98278,91925,1.07
"81","울산광역시","울주군 ",217436,85108,2.55,111940,105496,1.06
"85","경기도","수원시 ",1177851,457894,2.57,592971,584880,1.01
"86","경기도","수원시 장안구 ",300501,114938,2.61,151051,149450,1.01
"87","경기도","수원시 권선구 ",343624,133091,2.58,173141,170483,1.02
"88","경기도","수원시 팔달구 ",201569,87548,2.3,101226,100343,1.01
"89","경기도","수원시 영통구 ",332157,122317,2.72,167553,164604,1.02
"90","경기도","성남시 ",972466,389265,2.5,483718,488748,0.99
"91","경기도","성남시 수정구 ",221336,99798,2.22,112914,108422,1.04
"92","경기도","성남시 중원구 ",250637,104951,2.39,127087,123550,1.03
"93","경기도","성남시 분당구 ",500493,184516,2.71,243717,256776,0.95
"94","경기도","의정부시 ",431149,170576,2.53,212979,218170,0.98
"95","경기도","안양시 ",599215,223366,2.68,298309,300906,0.99
"96","경기도","안양시 만안구 ",247111,97312,2.54,124398,122713,1.01
"97","경기도","안양시 동안구 ",352104,126054,2.79,173911,178193,0.98
"98","경기도","부천시 ",852220,327475,2.6,426251,425969,1
"99","경기도","부천시 원미구 ",442854,169272,2.62,220442,222412,0.99
"100","경기도","부천시 소사구 ",224374,86716,2.59,111631,112743,0.99
"101","경기도","부천시 오정구 ",184992,71487,2.59,94178,90814,1.04
"102","경기도","광명시 ",346565,128507,2.7,171729,174836,0.98
"103","경기도","평택시 ",454231,185058,2.45,231507,222724,1.04
"104","경기도","동두천시 ",97494,41771,2.33,48637,48857,1
"105","경기도","안산시 ",703973,283031,2.49,360882,343091,1.05
"106","경기도","안산시 상록구 ",380882,152497,2.5,194112,186770,1.04
"107","경기도","안산시 단원구 ",323091,130534,2.48,166770,156321,1.07
"108","경기도","고양시 ",1015972,387074,2.62,500004,515968,0.97
