time,sales,product
2014-01-01,4716,product1
2014-01-08,4875,product1
2014-01-15,4570,product1
2014-01-22,3798,product1
2014-01-29,3987,product1
2014-02-05,3571,product1
2014-02-12,3934,product1
2014-02-19,4080,product1
2014-02-26,4782,product1
2014-03-05,4003,product1
2014-03-12,3778,product1
2014-03-19,3668,product1
2014-03-26,4073,product1
2014-04-02,4462,product1
2014-04-09,3786,product1
2014-04-16,4533,product1
2014-04-23,3754,product1
2014-04-30,3604,product1
2014-05-07,4689,product1
2014-05-14,4100,product1
2014-05-21,3690,product1
2014-05-28,3917,product1
2014-06-04,3672,product1
2014-06-11,3764,product1
2014-06-18,4213,product1
2014-06-25,4836,product1
2014-07-02,4789,product1
2014-07-09,4667,product1
2014-07-16,3518,product1
2014-07-23,3755,product1
2014-07-30,4110,product1
2014-08-06,3935,product1
2014-08-13,4424,product1
2014-08-20,4533,product1
2014-08-27,4129,product1
2014-09-03,4443,product1
2014-09-10,4494,product1
2014-09-17,4708,product1
2014-09-24,4353,product1
2014-10-01,4576,product1
2014-10-08,4158,product1
2014-10-15,4632,product1
2014-10-22,4985,product1
2014-10-29,3653,product1
2014-11-05,4394,product1
2014-11-12,4898,product1
2014-11-19,4843,product1
2014-11-26,3628,product1
2014-12-03,4902,product1
2014-12-10,4738,product1
2014-12-17,4220,product1
2014-12-24,4892,product1
2014-01-01,4801,product2
2014-01-08,5109,product2
2014-01-15,4653,product2
2014-01-22,3907,product2
2014-01-29,4065,product2
2014-02-05,3681,product2
2014-02-12,4064,product2
2014-02-19,4228,product2
2014-02-26,4969,product2
2014-03-05,4149,product2
2014-03-12,3917,product2
2014-03-19,3851,product2
2014-03-26,4325,product2
2014-04-02,4860,product2
2014-04-09,3989,product2
2014-04-16,4869,product2
2014-04-23,3907,product2
2014-04-30,3865,product2
2014-05-07,5134,product2
2014-05-14,4271,product2
2014-05-21,3770,product2
2014-05-28,4213,product2
2014-06-04,3727,product2
2014-06-11,3962,product2
2014-06-18,4508,product2
2014-06-25,5189,product2
2014-07-02,5135,product2
2014-07-09,5105,product2
2014-07-16,3576,product2
2014-07-23,3967,product2
2014-07-30,4158,product2
2014-08-06,4121,product2
2014-08-13,4804,product2
2014-08-20,4635,product2
2014-08-27,4240,product2
2014-09-03,4555,product2
2014-09-10,4752,product2
2014-09-17,4782,product2
2014-09-24,4620,product2
2014-10-01,4942,product2
2014-10-08,4490,product2
2014-10-15,4716,product2
2014-10-22,5236,product2
2014-10-29,3818,product2
2014-11-05,4459,product2
2014-11-12,5188,product2
2014-11-19,5067,product2
2014-11-26,3904,product2
2014-12-03,5081,product2
2014-12-10,5147,product2
2014-12-17,4567,product2
2014-12-24,5225,product2
2014-01-01,6589,product3
2014-01-08,5835,product3
2014-01-15,5123,product3
2014-01-22,4198,product3
2014-01-29,5000,product3
2014-02-05,4525,product3
2014-02-12,4957,product3
2014-02-19,4900,product3
2014-02-26,6493,product3
2014-03-05,5590,product3
2014-03-12,4608,product3
2014-03-19,5115,product3
2014-03-26,5527,product3
2014-04-02,5244,product3
2014-04-09,3918,product3
2014-04-16,4949,product3
2014-04-23,4297,product3
2014-04-30,4202,product3
2014-05-07,5532,product3
2014-05-14,5066,product3
2014-05-21,5106,product3
2014-05-28,4609,product3
2014-06-04,4514,product3
2014-06-11,4408,product3
2014-06-18,4699,product3
2014-06-25,5020,product3
2014-07-02,5552,product3
2014-07-09,5268,product3
2014-07-16,3975,product3
2014-07-23,4821,product3
2014-07-30,4947,product3
2014-08-06,5366,product3
2014-08-13,5200,product3
2014-08-20,4988,product3
2014-08-27,4910,product3
2014-09-03,4691,product3
2014-09-10,5426,product3
2014-09-17,6278,product3
2014-09-24,5646,product3
2014-10-01,5857,product3
2014-10-08,4388,product3
2014-10-15,5166,product3
2014-10-22,5660,product3
2014-10-29,3895,product3
2014-11-05,5734,product3
2014-11-12,5178,product3
2014-11-19,6114,product3
2014-11-26,3846,product3
2014-12-03,5317,product3
2014-12-10,5377,product3
2014-12-17,4568,product3
2014-12-24,5976,product3
2014-01-01,6020,product4
2014-01-08,6108,product4
2014-01-15,4826,product4
2014-01-22,4206,product4
2014-01-29,4161,product4
2014-02-05,4368,product4
2014-02-12,4318,product4
2014-02-19,4598,product4
2014-02-26,5655,product4
2014-03-05,4833,product4
2014-03-12,4400,product4
2014-03-19,4409,product4
2014-03-26,4662,product4
2014-04-02,4879,product4
2014-04-09,4877,product4
2014-04-16,5119,product4
2014-04-23,4573,product4
2014-04-30,3896,product4
2014-05-07,5957,product4
2014-05-14,4721,product4
2014-05-21,4675,product4
2014-05-28,4636,product4
2014-06-04,4367,product4
2014-06-11,4736,product4
2014-06-18,4956,product4
2014-06-25,5431,product4
2014-07-02,5430,product4
2014-07-09,6031,product4
2014-07-16,3968,product4
2014-07-23,4434,product4
2014-07-30,4367,product4
2014-08-06,4982,product4
2014-08-13,5012,product4
2014-08-20,5565,product4
2014-08-27,4873,product4
2014-09-03,4778,product4
2014-09-10,4849,product4
2014-09-17,6034,product4
2014-09-24,5541,product4
2014-10-01,5784,product4
2014-10-08,4593,product4
2014-10-15,5373,product4
2014-10-22,5935,product4
2014-10-29,4102,product4
2014-11-05,5523,product4
2014-11-12,5147,product4
2014-11-19,5783,product4
2014-11-26,3989,product4
2014-12-03,5229,product4
2014-12-10,5038,product4
2014-12-17,4742,product4
2014-12-24,5503,product4
