sex,edu,house_type,Income,exp_house,exp_con,exp_non,noofhousehold,weight
1,3,4,1003556,788077,703244,84833,1,2861.85
2,4,4,1005968,2232798,2204789,28009,3,1553.73
2,6,4,1016940,1016895,705142,311753,1,272.59
2,2,4,10179770,6932857,4244851,2688005,4,2514.97
2,5,4,10186317,4476698,1838778,2637920,2,1001.53
2,4,4,1020490,2334387,2187148,147239,3,3269.34
1,5,4,1000000,961993,815693,146300,2,211.21
1,3,4,0,540548,415250,125298,1,1449.81
1,3,4,0,438532,438532,0,3,635.58
2,4,4,10000000,5915176,3276686,2638491,2,712.39
2,1,4,1021759,2089456,1692381,397075,4,1071.47
2,2,4,10225522,6657363,4541764,2115599,2,1096.34
1,4,4,1024703,1157532,783596,373936,2,499.1
2,3,4,1025792,786072,717426,68646,1,4172.31
2,1,4,10258187,4201021,2541993,1659028,2,179.73
2,3,4,1026487,853905,785828,68077,1,9837.18
2,3,4,1027656,876031,691590,184441,2,1100.55
1,2,4,1032925,1210947,1110265,100681,3,825.56
2,5,4,10356386,7245553,5234349,2011204,4,697.9
1,4,4,10375195,4229857,2533606,1696251,2,385.42
1,2,4,1042143,1347261,1223959,123302,3,344.07
2,2,4,10469156,6138012,3526150,2611862,3,709.08
1,1,4,10488798,4483925,2776133,1707792,3,1062.73
2,5,4,1050000,859122,802418,56704,1,2066
2,2,4,1054690,1198203,1032679,165525,1,2228.1
2,1,4,1057965,997097,602329,394768,1,520.91
1,6,4,1059104,1674785,1504877,169908,1,1119.73
1,2,4,1060495,1729578,1570597,158981,1,757.41
1,4,4,1061795,799697,696986,102711,2,1205.8
1,2,4,1066733,758173,603291,154882,1,226.08
1,4,4,1066943,2472499,1841277,631221,1,835.03
1,3,4,1073191,1555733,1107677,448057,2,1331.81
1,2,4,1079850,1101414,903760,197654,2,410.83
1,4,4,108200,1247869,517869,730000,1,269.49
2,4,4,1088609,1047423,972805,74618,1,1688.95
2,2,4,1089064,1340201,595775,744426,1,449.21
1,3,4,10895889,2696116,1896956,799160,6,1743.41
2,3,4,10924029,5343927,2566303,2777625,2,384.25
2,3,4,1095602,717687,652309,65379,2,647.96
1,1,4,1097596,780163,713609,66555,4,718.8
2,2,4,1098238,853774,689594,164180,2,494.78
2,2,4,11006715,11771875,7626093,4145782,2,1403.24
1,5,4,1109231,1806517,1784065,22451,2,198.91
2,3,4,11103031,6214141,3636298,2577842,3,390.97
1,3,4,1111758,1970161,1709868,260293,2,2266.27
1,2,4,11119912,9359078,5940948,3418130,4,109.04
1,4,4,1113352,909626,765208,144418,2,1126.92
1,5,4,11148,655577,575298,80279,1,1170.09
2,6,4,11195209,4693925,3139001,1554925,4,794.57
2,2,4,112617,367932,363791,4142,1,2707.88
1,5,4,11267853,12702489,8530996,4171493,2,718.04
2,3,4,11299568,5105941,4216171,889770,2,600.44
2,2,4,11305487,3668692,2487464,1181228,4,6777.2
1,1,4,1134677,1096562,833413,263149,2,3579.65
2,4,4,1135551,895222,757861,137361,2,1091.74
1,3,4,11355917,10597821,7941833,2655988,3,1074.46
1,6,4,1136956,1203884,1137976,65908,2,664.4
1,4,4,1138137,844097,768567,75529,7,620.69
1,5,4,1138809,842611,529455,313155,1,6145.25
2,2,4,1144820,1217185,1081655,135530,4,2296.16
1,3,4,1147874,909939,718410,191529,1,352.06
2,2,4,1151400,1028796,903906,124891,2,479.82
2,6,4,1152723,1021981,826321,195661,2,1284.75
2,2,4,1157513,969874,835187,134687,2,628.6
2,5,4,1158099,501732,489800,11932,1,1831.31
2,5,4,1161254,678141,599989,78153,1,3653.51
1,6,4,1166662,1292296,1202632,89664,3,2547.14
1,2,4,1167977,1195700,1194148,1552,1,1579.95
1,2,4,1169919,439934,366157,73777,2,1262.23
1,5,4,1178626,733180,663426,69754,3,550.48
2,2,4,1181050,993168,811251,181917,2,1362.68
1,3,4,1182039,1547798,1299936,247862,2,602.64
1,6,4,1182170,1274130,914030,360100,2,94.45
2,5,4,1186659,1016990,911751,105239,1,331.53
1,4,4,1188898,1070312,899545,170766,2,3762.38
2,2,4,11909513,5770638,4733396,1037242,3,4452.3
2,1,4,1191999,921896,736081,185815,2,174.79
2,6,4,1193762,849721,685163,164558,1,2132.37
2,2,4,1195895,1247075,1066740,180334,2,4309.43
1,5,4,1196513,984461,829874,154587,2,537.52
1,2,4,11984849,5142754,2889566,2253188,4,1529.07
2,6,4,1200000,922126,868676,53450,1,872.08
2,3,4,12011441,6611595,6037881,573714,2,2136.97
1,3,4,1204100,1013715,938224,75491,1,1209.36
1,4,4,1206428,659081,530245,128836,1,1193.86
2,5,4,1210148,1197627,1059276,138351,4,368.36
1,1,4,1213782,1514282,1260686,253596,2,634.89
